rule,pass_count,fail_count
bbox_bottom_center,138,128
bbox_bottom_center_fliplr,138,128
bbox_bottom_left,138,128
bbox_bottom_left_fliplr,138,128
bbox_bottom_right,138,128
bbox_bottom_right_fliplr,138,128
bbox_center,138,128
bbox_center_fliplr,138,128
bbox_center_left,138,128
bbox_center_left_fliplr,138,128
bbox_center_right,138,128
bbox_center_right_fliplr,138,128
bbox_top_center,138,128
bbox_top_center_fliplr,138,128
bbox_top_left,138,128
bbox_top_left_fliplr,138,128
bbox_top_right,138,128
bbox_top_right_fliplr,138,128
trim_bottom_center,138,128
trim_bottom_center_fliplr,138,128
trim_bottom_left,138,128
trim_bottom_left_fliplr,138,128
trim_bottom_right,138,128
trim_bottom_right_fliplr,138,128
trim_center,138,128
trim_center_fliplr,138,128
trim_center_left,138,128
trim_center_left_fliplr,138,128
trim_center_right,138,128
trim_center_right_fliplr,138,128
trim_top_center,138,128
trim_top_center_fliplr,138,128
trim_top_left,138,128
trim_top_left_fliplr,138,128
trim_top_right,138,128
trim_top_right_fliplr,138,128
bbox_bottom_center_flipud,137,129
bbox_bottom_left_flipud,137,129
bbox_bottom_right_flipud,137,129
bbox_center_flipud,137,129
bbox_center_left_flipud,137,129
bbox_center_right_flipud,137,129
bbox_top_center_flipud,137,129
bbox_top_left_flipud,137,129
bbox_top_right_flipud,137,129
trim_bottom_center_flipud,137,129
trim_bottom_left_flipud,137,129
trim_bottom_right_flipud,137,129
trim_center_flipud,137,129
trim_center_left_flipud,137,129
trim_center_right_flipud,137,129
trim_top_center_flipud,137,129
trim_top_left_flipud,137,129
trim_top_right_flipud,137,129
bbox_bottom_center_rot180,14,252
bbox_bottom_center_rot270,14,252
bbox_bottom_center_rot90,14,252
bbox_bottom_left_rot180,14,252
bbox_bottom_left_rot270,14,252
bbox_bottom_left_rot90,14,252
bbox_bottom_right_rot180,14,252
bbox_bottom_right_rot270,14,252
bbox_bottom_right_rot90,14,252
bbox_center_left_rot180,14,252
bbox_center_left_rot270,14,252
bbox_center_left_rot90,14,252
bbox_center_right_rot180,14,252
bbox_center_right_rot270,14,252
bbox_center_right_rot90,14,252
bbox_center_rot180,14,252
bbox_center_rot270,14,252
bbox_center_rot90,14,252
bbox_top_center_rot180,14,252
bbox_top_center_rot270,14,252
bbox_top_center_rot90,14,252
bbox_top_left_rot180,14,252
bbox_top_left_rot270,14,252
bbox_top_left_rot90,14,252
bbox_top_right_rot180,14,252
bbox_top_right_rot270,14,252
bbox_top_right_rot90,14,252
trim_bottom_center_rot180,14,252
trim_bottom_center_rot270,14,252
trim_bottom_center_rot90,14,252
trim_bottom_left_rot180,14,252
trim_bottom_left_rot270,14,252
trim_bottom_left_rot90,14,252
trim_bottom_right_rot180,14,252
trim_bottom_right_rot270,14,252
trim_bottom_right_rot90,14,252
trim_center_left_rot180,14,252
trim_center_left_rot270,14,252
trim_center_left_rot90,14,252
trim_center_right_rot180,14,252
trim_center_right_rot270,14,252
trim_center_right_rot90,14,252
trim_center_rot180,14,252
trim_center_rot270,14,252
trim_center_rot90,14,252
trim_top_center_rot180,14,252
trim_top_center_rot270,14,252
trim_top_center_rot90,14,252
trim_top_left_rot180,14,252
trim_top_left_rot270,14,252
trim_top_left_rot90,14,252
trim_top_right_rot180,14,252
trim_top_right_rot270,14,252
trim_top_right_rot90,14,252
