idx,output_shape,output_color_count,component_count,shape_match_count,exactish_count,max_color,largest_color,largest_size,same_shape_input_crop_exact_count,first_exactish
0,3x3,5,11,5,0,3,3,9,0,{}
1,3x3,2,8,2,0,2,2,9,0,{}
2,3x3,3,9,3,0,3,3,9,0,{}
3,3x3,2,6,2,0,1,1,9,0,{}
4,3x3,2,3,2,0,4,4,9,0,{}
5,3x3,2,10,2,0,1,1,8,0,{}
6,3x3,6,12,6,0,3,3,9,0,{}
7,3x3,8,14,8,0,1,1,9,0,{}
8,3x3,5,9,5,0,3,3,9,0,{}
9,3x3,3,8,3,0,4,4,8,0,{}
10,3x3,1,9,1,0,2,2,8,0,{}
11,3x3,7,15,7,0,1,1,9,0,{}
12,3x3,2,9,2,0,5,6,8,0,{}
13,3x3,5,11,5,0,3,3,9,0,{}
14,3x3,1,8,1,0,1,1,8,0,{}
15,3x3,5,9,5,0,3,3,9,0,{}
16,3x3,2,9,2,0,6,6,9,0,{}
17,3x3,7,11,7,0,1,1,9,0,{}
18,3x3,7,14,7,0,3,3,9,0,{}
19,3x3,1,6,1,0,6,6,9,0,{}
20,3x3,6,12,6,0,2,2,8,0,{}
21,3x3,8,14,8,2,1,1,9,0,"{'component_index': 0, 'color': 7, 'size': 8, 'r0': 0, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': False, 'mask_binary': True, 'mask_colorized': False}"
22,3x3,2,8,2,0,6,6,8,0,{}
23,3x3,3,7,3,0,1,1,9,0,{}
24,3x3,7,15,7,0,5,8,9,0,{}
25,3x3,4,11,4,0,1,1,9,0,{}
26,3x3,5,11,5,0,1,1,9,0,{}
27,3x3,5,12,5,0,1,1,9,0,{}
28,3x3,6,11,6,0,3,3,9,0,{}
29,3x3,4,9,4,0,2,2,9,0,{}
30,3x3,6,13,6,0,3,3,9,0,{}
31,3x3,5,13,5,0,1,1,8,0,{}
32,3x3,4,12,4,0,5,2,9,0,{}
33,3x3,3,9,3,0,1,1,8,0,{}
34,3x3,5,12,5,0,2,2,9,0,{}
35,3x3,8,12,8,0,2,2,9,0,{}
36,3x3,3,9,3,0,5,7,8,0,{}
37,3x3,7,15,7,0,7,7,9,0,{}
38,3x3,5,11,5,0,6,6,9,0,{}
39,3x3,6,14,6,0,4,4,9,0,{}
40,3x3,6,12,6,0,1,1,9,0,{}
41,3x3,3,10,3,0,9,9,9,0,{}
42,3x3,5,12,5,0,8,8,9,0,{}
43,3x3,5,9,5,0,1,1,9,0,{}
44,3x3,2,5,2,0,1,1,9,0,{}
45,3x3,2,8,2,0,6,6,9,0,{}
46,3x3,2,6,2,0,2,2,9,0,{}
47,3x3,6,12,6,0,2,2,9,0,{}
48,3x3,7,12,7,0,1,1,9,0,{}
49,3x3,1,7,1,0,4,4,9,1,{}
50,3x3,6,10,6,0,4,4,9,0,{}
51,3x3,4,12,4,0,5,1,8,0,{}
52,3x3,5,11,5,0,2,2,9,0,{}
53,3x3,6,14,6,0,1,1,9,0,{}
54,3x3,4,9,4,0,3,3,9,0,{}
55,3x3,6,11,6,0,1,1,9,0,{}
56,3x3,1,8,1,0,1,1,8,0,{}
57,3x3,8,12,8,1,2,2,9,0,"{'component_index': 5, 'color': 9, 'size': 8, 'r0': 3, 'c0': 3, 'h': 3, 'w': 3, 'crop_exact': False, 'mask_binary': True, 'mask_colorized': False}"
58,3x3,1,4,1,0,8,8,9,1,{}
59,3x3,8,10,8,1,2,2,9,0,"{'component_index': 3, 'color': 1, 'size': 8, 'r0': 3, 'c0': 3, 'h': 3, 'w': 3, 'crop_exact': False, 'mask_binary': True, 'mask_colorized': False}"
60,3x3,2,8,2,0,2,2,9,0,{}
61,3x3,1,8,1,0,1,1,8,0,{}
62,3x3,7,11,7,0,2,2,9,0,{}
63,3x3,2,9,2,0,4,4,9,0,{}
64,3x3,5,12,5,0,4,4,9,0,{}
65,3x3,3,9,3,0,6,6,9,0,{}
66,3x3,8,12,8,0,2,2,9,0,{}
67,3x3,7,11,7,0,3,3,9,0,{}
68,3x3,4,8,4,0,3,3,9,0,{}
69,3x3,5,12,5,0,3,3,9,0,{}
70,3x3,7,15,7,0,1,1,9,0,{}
71,3x3,7,14,7,0,1,1,9,0,{}
72,3x3,1,7,1,0,1,1,8,0,{}
73,3x3,5,9,5,0,3,3,9,0,{}
74,3x3,1,8,1,0,6,6,9,0,{}
75,3x3,2,7,2,0,6,6,9,0,{}
76,3x3,4,13,4,0,6,6,9,0,{}
77,3x3,7,10,7,0,1,1,9,0,{}
78,3x3,5,10,5,0,3,3,9,0,{}
79,3x3,6,10,6,0,1,1,9,0,{}
80,3x3,5,11,5,0,1,1,9,0,{}
81,3x3,2,6,2,0,1,1,9,0,{}
82,3x3,3,6,3,0,8,8,9,0,{}
83,3x3,3,8,3,0,1,1,9,0,{}
84,3x3,7,10,7,0,2,2,9,0,{}
85,3x3,1,4,1,0,6,6,9,0,{}
86,3x3,5,12,5,0,4,4,9,0,{}
87,3x3,7,12,7,0,3,3,9,0,{}
88,3x3,2,7,2,0,9,9,8,0,{}
89,3x3,6,12,6,0,1,1,9,0,{}
90,3x3,2,7,2,0,6,6,9,0,{}
91,3x3,1,6,1,0,6,6,8,0,{}
92,3x3,4,13,4,0,5,1,8,0,{}
93,3x3,6,11,6,0,3,3,9,0,{}
94,3x3,3,10,3,0,4,4,9,0,{}
95,3x3,4,7,4,0,2,2,9,0,{}
96,3x3,7,12,7,0,1,1,9,0,{}
97,3x3,3,15,3,0,5,2,7,0,{}
98,3x3,8,17,8,1,1,1,9,0,"{'component_index': 8, 'color': 8, 'size': 8, 'r0': 3, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': False, 'mask_binary': True, 'mask_colorized': False}"
99,3x3,3,9,3,0,7,7,9,0,{}
100,3x3,7,12,7,0,2,2,9,0,{}
101,3x3,7,14,7,0,1,1,9,0,{}
102,3x3,1,6,1,0,3,3,8,1,{}
103,3x3,6,9,6,0,2,2,9,0,{}
104,3x3,4,7,4,0,2,2,9,0,{}
105,3x3,2,7,2,0,2,2,8,0,{}
106,3x3,2,9,2,0,4,4,8,0,{}
107,3x3,3,12,3,0,5,2,8,0,{}
108,3x3,4,10,4,0,3,3,9,0,{}
109,3x3,7,11,7,0,2,2,9,0,{}
110,3x3,8,14,8,1,4,4,9,0,"{'component_index': 8, 'color': 2, 'size': 8, 'r0': 3, 'c0': 3, 'h': 3, 'w': 3, 'crop_exact': False, 'mask_binary': True, 'mask_colorized': False}"
111,3x3,1,7,1,0,7,7,9,0,{}
112,3x3,8,14,8,0,1,1,9,0,{}
113,3x3,1,8,1,0,3,3,8,0,{}
114,3x3,3,8,3,0,4,4,9,0,{}
115,3x3,5,15,5,0,5,1,8,0,{}
116,3x3,6,12,6,0,3,3,9,0,{}
117,3x3,4,12,4,0,5,3,8,0,{}
118,3x3,6,16,6,0,5,6,8,0,{}
119,3x3,7,8,7,0,1,1,9,0,{}
120,3x3,3,10,3,0,8,8,9,0,{}
121,3x3,4,9,4,0,7,7,9,0,{}
122,3x3,7,14,7,0,1,1,9,0,{}
123,3x3,7,11,7,0,1,1,9,0,{}
124,3x3,3,9,3,0,7,7,9,0,{}
125,3x3,3,10,3,0,1,1,8,0,{}
126,3x3,7,10,7,0,2,2,9,0,{}
127,3x3,1,6,1,0,3,3,9,0,{}
128,3x3,7,12,7,0,6,6,9,0,{}
129,3x3,5,10,5,0,1,1,9,0,{}
130,3x3,8,12,8,0,1,1,9,0,{}
131,3x3,2,9,2,0,5,4,8,0,{}
132,3x3,8,14,8,1,2,2,9,0,"{'component_index': 10, 'color': 1, 'size': 8, 'r0': 6, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': False, 'mask_binary': True, 'mask_colorized': False}"
133,3x3,1,5,1,0,8,8,9,0,{}
134,3x3,7,14,7,0,3,3,9,0,{}
135,3x3,6,10,6,0,2,2,9,0,{}
136,3x3,8,13,8,0,1,1,9,0,{}
137,3x3,6,10,6,0,1,1,9,0,{}
138,3x3,5,12,5,0,7,7,9,0,{}
139,3x3,2,6,2,0,9,9,8,0,{}
140,3x3,7,12,7,0,2,2,9,0,{}
141,3x3,8,13,8,0,1,1,9,0,{}
142,3x3,5,10,5,0,4,4,9,0,{}
143,3x3,8,13,8,0,1,1,9,0,{}
144,3x3,3,8,3,0,6,6,9,0,{}
145,3x3,2,7,2,0,6,6,9,0,{}
146,3x3,2,7,2,0,8,8,9,0,{}
147,3x3,6,11,6,0,6,6,9,0,{}
148,3x3,7,13,7,0,9,9,9,0,{}
149,3x3,4,9,4,0,4,4,9,0,{}
150,3x3,3,9,3,0,1,1,9,0,{}
151,3x3,4,13,4,0,5,1,9,0,{}
152,3x3,1,8,1,0,4,4,9,0,{}
153,3x3,6,12,6,0,4,4,9,0,{}
154,3x3,3,11,3,0,6,6,9,0,{}
155,3x3,1,8,1,0,8,8,9,0,{}
156,3x3,1,9,1,0,5,9,8,0,{}
157,3x3,6,11,6,0,2,2,9,0,{}
158,3x3,3,10,3,0,9,9,9,0,{}
159,3x3,3,11,3,0,3,3,8,0,{}
160,3x3,5,10,5,0,2,2,9,0,{}
161,3x3,8,14,8,0,1,1,9,0,{}
162,3x3,1,8,1,0,2,2,8,0,{}
163,3x3,5,10,5,0,1,1,9,0,{}
164,3x3,2,9,2,0,8,8,9,0,{}
165,3x3,2,7,2,0,3,3,8,0,{}
166,3x3,5,11,5,0,1,1,9,0,{}
167,3x3,2,9,2,0,6,6,8,0,{}
168,3x3,6,11,6,0,2,2,9,0,{}
169,3x3,3,8,3,0,2,2,9,0,{}
170,3x3,6,12,6,0,2,2,9,0,{}
171,3x3,2,11,2,0,5,6,9,0,{}
172,3x3,7,14,7,0,1,1,9,0,{}
173,3x3,4,13,4,0,3,3,9,0,{}
174,3x3,2,6,2,0,1,1,8,0,{}
175,3x3,2,10,2,0,5,7,8,0,{}
176,3x3,1,7,1,0,1,1,8,0,{}
177,3x3,2,10,2,0,5,1,8,0,{}
178,3x3,6,12,6,0,4,4,9,0,{}
179,3x3,3,6,3,0,8,8,9,0,{}
180,3x3,1,9,1,0,5,3,8,0,{}
181,3x3,5,10,5,0,1,1,9,0,{}
182,3x3,1,9,1,0,5,6,8,0,{}
183,3x3,2,7,2,0,3,3,9,0,{}
184,3x3,8,13,8,0,3,3,9,0,{}
185,3x3,5,11,5,0,1,1,9,0,{}
186,3x3,2,8,2,0,4,4,9,0,{}
187,3x3,2,8,2,0,4,4,9,0,{}
188,3x3,2,7,2,0,3,3,9,0,{}
189,3x3,1,6,1,0,4,4,8,0,{}
190,3x3,4,10,4,0,7,7,9,0,{}
191,3x3,5,10,5,0,4,4,9,0,{}
192,3x3,5,11,5,0,9,9,9,0,{}
193,3x3,4,8,4,0,1,1,9,0,{}
194,3x3,6,8,6,0,2,2,9,0,{}
195,3x3,3,8,3,0,2,2,9,0,{}
196,3x3,2,8,2,0,2,2,9,0,{}
197,3x3,2,8,2,0,6,6,9,0,{}
198,3x3,8,13,8,1,2,2,9,0,"{'component_index': 9, 'color': 1, 'size': 8, 'r0': 6, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': False, 'mask_binary': True, 'mask_colorized': False}"
199,3x3,8,11,8,0,1,1,9,0,{}
200,3x3,4,10,4,0,1,1,9,0,{}
201,3x3,5,11,5,0,1,1,9,0,{}
202,3x3,3,8,3,0,2,2,9,0,{}
203,3x3,3,10,3,0,4,4,9,0,{}
204,3x3,2,9,2,0,3,3,8,0,{}
205,3x3,5,12,5,0,8,8,9,0,{}
206,3x3,5,10,5,0,1,1,9,0,{}
207,3x3,8,11,8,1,3,3,9,0,"{'component_index': 7, 'color': 8, 'size': 8, 'r0': 3, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': False, 'mask_binary': True, 'mask_colorized': False}"
208,3x3,3,8,3,0,4,4,9,0,{}
209,3x3,1,5,1,0,3,3,8,0,{}
210,3x3,1,5,1,0,6,6,8,0,{}
211,3x3,2,7,2,0,9,9,9,0,{}
212,3x3,2,5,2,0,1,1,9,0,{}
213,3x3,5,12,5,0,1,1,9,0,{}
214,3x3,3,10,3,0,2,2,9,0,{}
215,3x3,1,7,1,0,7,7,9,0,{}
216,3x3,4,11,4,0,7,7,9,0,{}
217,3x3,5,11,5,0,3,3,9,0,{}
218,3x3,5,13,5,0,5,8,9,0,{}
219,3x3,8,14,8,0,2,2,9,0,{}
220,3x3,5,8,5,0,1,1,9,0,{}
221,3x3,8,13,8,0,2,2,9,0,{}
222,3x3,2,6,2,0,2,2,9,0,{}
223,3x3,3,8,3,0,9,9,9,0,{}
224,3x3,1,7,1,0,9,9,9,0,{}
225,3x3,1,8,1,0,5,7,8,0,{}
226,3x3,5,10,5,0,2,2,9,0,{}
227,3x3,6,10,6,0,1,1,9,0,{}
228,3x3,8,14,8,0,1,1,9,0,{}
229,3x3,1,5,1,0,6,6,8,0,{}
230,3x3,3,10,3,0,1,1,8,0,{}
231,3x3,8,18,8,0,5,6,9,0,{}
232,3x3,3,10,3,0,1,1,9,0,{}
233,3x3,1,4,1,0,8,8,9,1,{}
234,3x3,2,8,2,0,4,4,9,0,{}
235,3x3,1,7,1,0,4,4,7,0,{}
236,3x3,2,7,2,0,1,1,8,0,{}
237,3x3,2,10,2,0,9,9,9,0,{}
238,3x3,5,8,5,0,1,1,9,0,{}
239,3x3,5,13,5,0,1,1,8,0,{}
240,3x3,4,8,4,0,2,2,9,0,{}
241,3x3,1,8,1,0,6,6,9,0,{}
242,3x3,1,8,1,0,5,2,8,1,{}
243,3x3,1,7,1,0,6,6,9,0,{}
244,3x3,1,5,1,0,3,3,9,0,{}
245,3x3,4,10,4,0,6,6,9,0,{}
246,3x3,3,7,3,0,4,4,9,0,{}
247,3x3,5,9,5,0,2,2,9,0,{}
248,3x3,5,11,5,0,8,8,9,0,{}
249,3x3,7,14,7,0,4,4,9,0,{}
250,3x3,5,13,5,0,1,1,9,0,{}
251,3x3,2,8,2,0,2,2,9,0,{}
252,3x3,1,6,1,0,2,2,8,0,{}
253,3x3,6,12,6,0,3,3,9,0,{}
254,3x3,7,11,7,0,1,1,9,0,{}
255,3x3,6,12,6,0,3,3,9,0,{}
256,3x3,3,6,3,0,2,2,9,0,{}
257,3x3,8,15,8,0,5,6,9,0,{}
258,3x3,6,13,6,0,2,2,9,0,{}
259,3x3,6,12,6,0,4,4,9,0,{}
260,3x3,3,11,3,0,5,1,8,0,{}
261,3x3,2,7,2,0,2,2,9,0,{}
262,3x3,6,9,6,0,1,1,9,0,{}
263,3x3,5,11,5,0,6,6,9,0,{}
264,3x3,7,13,7,0,1,1,9,0,{}
