selector,hit,miss,within1
comp_area_desc_clamped,176,91,176
comp_area_desc_tl,176,91,176
comp_size_desc_clamped,106,161,106
comp_size_desc_tl,106,161,106
comp_color_asc_clamped,86,181,92
comp_color_asc_tl,85,182,92
comp_r0_asc_clamped,68,199,68
comp_r0_asc_tl,68,199,68
comp_c0_asc_clamped,63,204,63
comp_c0_asc_tl,63,204,63
nz_bbox_tl,31,236,60
least_color_bbox_tl,31,236,57
mode_color_bbox_tl,28,239,58
color8_bbox_tl,16,251,54
least_color_centered,1,266,6
color8_centered,0,267,0
mode_color_centered,0,267,0
