idx,target,binary_candidate_count,signature_candidate_count,target_in_binary,target_in_signature,binary_candidates,signature_candidates
0,"5,6",4,1,True,True,"0,0;1,4;4,1;5,6","5,6"
1,"4,2",4,0,True,False,"0,1;1,5;4,2;6,6",
2,"4,6",4,0,True,False,"0,4;1,0;4,6;5,0",
3,"1,6",4,0,True,False,"0,2;1,6;4,0;5,4",
4,"6,6",4,0,True,False,"0,0;0,6;3,3;6,6",
5,"6,6",4,0,True,False,"1,0;1,4;5,0;6,6",
6,"0,5",4,0,True,False,"0,1;0,5;4,1;6,5",
7,"0,6",4,0,True,False,"0,1;0,6;5,1;6,6",
8,"0,6",4,0,True,False,"0,2;0,6;6,1;6,5",
9,"6,5",4,0,True,False,"0,1;2,6;5,1;6,5",
10,"0,0",4,0,True,False,"0,0;2,4;5,1;6,6",
11,"1,6",4,0,True,False,"1,2;1,6;5,5;6,0",
12,"4,6",4,0,True,False,"0,4;2,0;4,6;6,1",
13,"0,6",4,0,True,False,"0,6;2,1;5,5;6,0",
14,"0,6",4,0,True,False,"0,0;0,6;4,0;4,4",
15,"6,1",4,0,True,False,"0,1;2,6;6,1;6,5",
16,"6,6",4,0,True,False,"1,0;2,6;6,1;6,6",
17,"4,0",4,0,True,False,"0,1;0,5;4,0;4,4",
18,"4,1",4,0,True,False,"0,2;1,6;4,1;5,5",
19,"0,0",4,0,True,False,"0,0;0,4;4,0;5,4",
20,"6,6",4,0,True,False,"0,1;1,5;4,0;6,6",
21,"0,5",4,0,True,False,"0,0;0,5;5,1;6,5",
22,"4,0",4,0,True,False,"0,0;0,5;4,0;4,5",
23,"4,0",4,0,True,False,"0,1;1,6;4,0;5,5",
24,"5,2",4,0,True,False,"1,0;1,5;5,2;5,6",
25,"1,1",4,0,True,False,"1,1;2,5;6,0;6,5",
26,"1,5",4,0,True,False,"1,1;1,5;5,1;5,6",
27,"4,6",4,0,True,False,"0,0;0,6;4,6;6,2",
28,"1,2",4,0,True,False,"0,6;1,2;5,1;6,6",
29,"5,0",4,0,True,False,"0,4;1,0;5,0;6,6",
30,"4,1",4,0,True,False,"0,0;0,4;4,1;4,6",
31,"0,0",4,0,True,False,"0,0;2,5;5,1;6,5",
32,"6,0",4,0,True,False,"1,0;1,4;5,4;6,0",
33,"5,5",4,0,True,False,"1,2;1,6;5,1;5,5",
34,"0,6",4,0,True,False,"0,1;0,6;5,0;6,4",
35,"6,5",4,0,True,False,"1,0;1,4;6,0;6,5",
36,"1,0",4,0,True,False,"1,0;1,4;5,0;6,5",
37,"0,1",4,0,True,False,"0,1;1,5;5,1;6,5",
38,"0,5",4,0,True,False,"0,5;2,0;4,6;6,2",
39,"1,6",4,0,True,False,"1,1;1,6;5,0;5,4",
40,"5,5",4,0,True,False,"0,5;2,1;5,5;6,0",
41,"2,0",4,0,True,False,"2,0;2,6;6,0;6,6",
42,"0,2",4,0,True,False,"0,2;0,6;4,0;4,4",
43,"6,5",4,0,True,False,"0,2;1,6;4,0;6,5",
44,"6,1",4,0,True,False,"0,0;0,6;6,1;6,6",
45,"6,2",4,0,True,False,"0,0;2,5;6,2;6,6",
46,"1,0",4,0,True,False,"1,0;1,5;5,0;5,4",
47,"6,2",4,0,True,False,"0,5;1,0;4,6;6,2",
48,"4,1",4,0,True,False,"0,0;0,4;4,1;5,5",
49,"0,6",4,0,True,False,"0,6;2,0;5,6;6,0",
50,"5,1",4,0,True,False,"0,4;1,0;5,1;5,5",
51,"0,0",4,0,True,False,"0,0;0,4;4,0;4,6",
52,"4,1",4,0,True,False,"0,2;0,6;4,1;6,5",
53,"4,6",4,0,True,False,"0,4;1,0;4,6;5,2",
54,"0,0",4,0,True,False,"0,0;0,6;4,6;6,1",
55,"1,0",4,0,True,False,"0,4;1,0;5,2;6,6",
56,"6,6",4,0,True,False,"0,0;2,5;4,1;6,6",
57,"6,0",4,0,True,False,"1,2;2,6;6,0;6,4",
58,"2,1",4,0,True,False,"0,6;2,1;6,0;6,4",
59,"1,6",4,0,True,False,"0,1;1,6;4,1;6,5",
60,"6,5",4,0,True,False,"1,2;1,6;6,0;6,5",
61,"1,5",4,1,True,False,"1,5;2,0;6,0;6,6","2,0"
62,"1,6",4,0,True,False,"1,2;1,6;5,1;5,6",
63,"1,1",4,0,True,False,"0,5;1,1;5,5;6,0",
64,"5,4",4,0,True,False,"0,0;1,6;4,0;5,4",
65,"5,4",4,0,True,False,"0,1;0,6;5,0;5,4",
66,"5,5",4,0,True,False,"0,5;1,1;5,0;5,5",
67,"0,1",4,0,True,False,"0,1;0,5;6,1;6,6",
68,"6,6",4,0,True,False,"0,1;2,5;5,1;6,6",
69,"0,1",4,0,True,False,"0,1;1,6;6,0;6,5",
70,"0,4",4,0,True,False,"0,0;0,4;4,0;4,6",
71,"6,2",4,0,True,False,"0,5;1,1;6,2;6,6",
72,"6,0",4,0,True,False,"1,0;1,5;5,4;6,0",
73,"6,4",4,1,True,False,"1,1;2,5;5,0;6,4","5,0"
74,"0,4",4,0,True,False,"0,0;0,4;5,0;6,5",
75,"2,0",4,0,True,False,"0,4;2,0;4,5;6,1",
76,"6,0",4,0,True,False,"0,6;1,0;6,0;6,6",
77,"5,6",4,0,True,False,"0,6;1,1;5,1;5,6",
78,"4,6",4,0,True,False,"0,0;0,4;4,1;4,6",
79,"6,6",4,0,True,False,"1,0;1,6;5,1;6,6",
80,"0,5",4,0,True,False,"0,0;0,5;4,6;5,0",
81,"0,1",4,0,True,False,"0,1;1,6;5,1;5,5",
82,"0,1",4,0,True,False,"0,1;1,5;4,0;5,6",
83,"0,4",4,0,True,False,"0,0;0,4;4,0;6,6",
84,"6,0",4,0,True,False,"1,0;1,5;6,0;6,5",
85,"4,5",4,0,True,False,"0,1;0,6;4,0;4,5",
86,"1,0",4,0,True,False,"0,5;1,0;4,4;5,0",
87,"0,2",4,0,True,False,"0,2;1,6;5,6;6,1",
88,"5,0",4,0,True,False,"0,0;1,6;5,0;6,5",
89,"0,0",4,0,True,False,"0,0;0,4;4,6;6,1",
90,"1,0",4,0,True,False,"1,0;2,5;6,1;6,6",
91,"6,0",4,0,True,False,"0,4;2,0;4,5;6,0",
92,"0,2",4,0,True,False,"0,2;1,6;5,1;6,6",
93,"6,0",4,0,True,False,"0,4;2,0;4,5;6,0",
94,"0,2",4,0,True,False,"0,2;1,6;4,0;5,5",
