selector,hit,miss
color8_count_min,267,0
sum_colors_min,267,0
edge_sum_min,204,63
corner_sum_min,188,79
center_min,139,128
least_count_min,126,141
distinct_max,75,192
min_color_min,75,192
mode_count_max,74,193
max_color_max,68,199
max_color_min,68,199
row_major_first,68,199
col_major_first,63,204
row_major_last,63,204
col_major_last,60,207
distinct_min,38,229
min_color_max,38,229
mode_count_min,37,230
center_max,22,245
least_count_max,11,256
corner_sum_max,2,265
edge_sum_max,1,266
color8_count_max,0,267
sum_colors_max,0,267
