kind,rule,pass_count,fail_count
color,bbox_bl,49,218
color,bbox_br,43,224
color,bbox_tl,43,224
color,bbox_tr,36,231
color,bbox_center,18,249
color,center,18,249
color,bl,0,267
color,br,0,267
color,least_nz,0,267
color,mode_all,0,267
color,mode_nz,0,267
color,tl,0,267
color,tr,0,267
template,bl,267,0
template,br,267,0
template,mode_all,267,0
template,tl,267,0
template,tr,267,0
template,bbox_center,170,97
template,center,170,97
template,bbox_bl,0,267
template,bbox_br,0,267
template,bbox_tl,0,267
template,bbox_tr,0,267
template,least_nz,0,267
template,mode_nz,0,267
