idx,out_color,binary,colorized,features
0,4,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 3, 'bbox_tr': 1, 'bbox_bl': 1, 'bbox_br': 1, 'bbox_center': 0}"
1,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 8, 'least_nz': 2, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 6, 'bbox_tr': 8, 'bbox_bl': 8, 'bbox_br': 8, 'bbox_center': 0}"
2,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 3, 'least_nz': 1, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 3, 'bbox_tr': 3, 'bbox_bl': 2, 'bbox_br': 3, 'bbox_center': 0}"
3,8,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 4, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 1, 'bbox_bl': 1, 'bbox_br': 1, 'bbox_center': 0}"
4,4,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 8, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 2, 'bbox_bl': 2, 'bbox_br': 2, 'bbox_center': 0}"
5,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 8, 'least_nz': 1, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 3, 'bbox_tr': 5, 'bbox_bl': 8, 'bbox_br': 8, 'bbox_center': 0}"
6,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 9, 'least_nz': 5, 'mode_all': 0, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 2, 'bbox_bl': 9, 'bbox_br': 2, 'bbox_center': 8}"
7,1,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 3, 'mode_all': 0, 'center': 2, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 2, 'bbox_bl': 2, 'bbox_br': 3, 'bbox_center': 2}"
8,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 7, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 3, 'bbox_tr': 1, 'bbox_bl': 1, 'bbox_br': 1, 'bbox_center': 0}"
9,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 8, 'least_nz': 2, 'mode_all': 0, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 8, 'bbox_tr': 8, 'bbox_bl': 8, 'bbox_br': 8, 'bbox_center': 8}"
10,1,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 6, 'least_nz': 4, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 6, 'bbox_tr': 1, 'bbox_bl': 6, 'bbox_br': 6, 'bbox_center': 0}"
11,9,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 6, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 6, 'bbox_tr': 9, 'bbox_bl': 6, 'bbox_br': 6, 'bbox_center': 0}"
12,7,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 8, 'mode_all': 0, 'center': 7, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 8, 'bbox_bl': 7, 'bbox_br': 7, 'bbox_center': 7}"
13,5,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 7, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 8, 'bbox_tr': 2, 'bbox_bl': 2, 'bbox_br': 7, 'bbox_center': 0}"
14,8,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 6, 'least_nz': 5, 'mode_all': 0, 'center': 6, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 8, 'bbox_tr': 6, 'bbox_bl': 5, 'bbox_br': 6, 'bbox_center': 6}"
15,4,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 6, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 4, 'bbox_bl': 2, 'bbox_br': 2, 'bbox_center': 0}"
16,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 9, 'mode_all': 0, 'center': 1, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 1, 'bbox_bl': 5, 'bbox_br': 3, 'bbox_center': 1}"
17,8,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 5, 'least_nz': 2, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5, 'bbox_center': 0}"
18,5,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 9, 'mode_all': 0, 'center': 5, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 2, 'bbox_bl': 2, 'bbox_br': 2, 'bbox_center': 5}"
19,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 8, 'mode_all': 0, 'center': 1, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 1, 'bbox_bl': 1, 'bbox_br': 1, 'bbox_center': 1}"
20,5,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 8, 'least_nz': 4, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 8, 'bbox_bl': 8, 'bbox_br': 9, 'bbox_center': 0}"
