rule,pass_count,fail_count
max_count_low,248,18
mode_nz,248,18
max_count_high,244,22
bbox_tl,115,151
bbox_bl,109,157
bbox_tr,95,171
bbox_center,88,178
center,83,183
bbox_br,77,189
bl,58,208
tl,58,208
tr,44,222
br,31,235
color7_bbox_w,23,243
least_nz,22,244
min_count_low,22,244
min_count_high,18,248
color7_bbox_h,10,256
color9_bbox_h,8,258
color5_bbox_w,7,259
color6_bbox_h,7,259
color4_bbox_h,6,260
color4_bbox_w,6,260
color5_bbox_h,6,260
color8_bbox_h,6,260
color3_bbox_w,5,261
color6_bbox_w,5,261
color1_bbox_h,4,262
color1_bbox_w,4,262
color3_bbox_h,4,262
color8_bbox_w,4,262
color9_bbox_w,4,262
color2_bbox_w,3,263
color2_count,1,265
color1_count,0,266
color2_bbox_h,0,266
color3_count,0,266
color4_count,0,266
color5_count,0,266
color6_count,0,266
color7_count,0,266
color8_count,0,266
color9_count,0,266
mode_all,0,266
