idx,output_color,template,features
0,8,"(1, 1, 1, 1)","{'mode_nz': 8, 'least_nz': 7, 'mode_all': 0, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 0, 'bbox_bl': 0, 'bbox_br': 8, 'bbox_center': 0, 'color7_count': 12, 'color7_bbox_h': 4, 'color7_bbox_w': 4, 'color8_count': 14, 'color8_bbox_h': 4, 'color8_bbox_w': 5}"
1,7,"(1, 1, 1, 1)","{'mode_nz': 7, 'least_nz': 6, 'mode_all': 0, 'center': 7, 'tl': 6, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 6, 'bbox_tr': 0, 'bbox_bl': 0, 'bbox_br': 7, 'bbox_center': 0, 'color6_count': 14, 'color6_bbox_h': 4, 'color6_bbox_w': 5, 'color7_count': 16, 'color7_bbox_h': 4, 'color7_bbox_w': 6}"
2,4,"(1, 1, 1, 1)","{'mode_nz': 4, 'least_nz': 2, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 2, 'bbox_tl': 4, 'bbox_tr': 0, 'bbox_bl': 0, 'bbox_br': 2, 'bbox_center': 0, 'color2_count': 8, 'color2_bbox_h': 3, 'color2_bbox_w': 3, 'color4_count': 22, 'color4_bbox_h': 7, 'color4_bbox_w': 6}"
3,3,"(1, 1, 1, 1)","{'mode_nz': 3, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 3, 'tr': 9, 'bl': 0, 'br': 9, 'bbox_tl': 3, 'bbox_tr': 9, 'bbox_bl': 0, 'bbox_br': 9, 'bbox_center': 3, 'color3_count': 24, 'color3_bbox_h': 9, 'color3_bbox_w': 5, 'color9_count': 24, 'color9_bbox_h': 10, 'color9_bbox_w': 4}"
4,7,"(1, 1, 1, 1)","{'mode_nz': 7, 'least_nz': 4, 'mode_all': 0, 'center': 0, 'tl': 7, 'tr': 7, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 7, 'bbox_bl': 0, 'bbox_br': 0, 'bbox_center': 0, 'color4_count': 12, 'color4_bbox_h': 3, 'color4_bbox_w': 5, 'color7_count': 30, 'color7_bbox_h': 7, 'color7_bbox_w': 10}"
5,7,"(1, 1, 1, 1)","{'mode_nz': 7, 'least_nz': 9, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 7, 'bbox_bl': 0, 'bbox_br': 7, 'bbox_center': 7, 'color7_count': 18, 'color7_bbox_h': 6, 'color7_bbox_w': 5, 'color9_count': 10, 'color9_bbox_h': 4, 'color9_bbox_w': 3}"
6,3,"(1, 1, 1, 1)","{'mode_nz': 3, 'least_nz': 7, 'mode_all': 0, 'center': 3, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 3, 'bbox_bl': 7, 'bbox_br': 0, 'bbox_center': 3, 'color3_count': 14, 'color3_bbox_h': 3, 'color3_bbox_w': 6, 'color7_count': 10, 'color7_bbox_h': 4, 'color7_bbox_w': 3}"
7,1,"(1, 1, 1, 1)","{'mode_nz': 1, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 0, 'bbox_bl': 1, 'bbox_br': 1, 'bbox_center': 0, 'color1_count': 18, 'color1_bbox_h': 3, 'color1_bbox_w': 8, 'color3_count': 12, 'color3_bbox_h': 5, 'color3_bbox_w': 3}"
8,9,"(1, 1, 1, 1)","{'mode_nz': 9, 'least_nz': 3, 'mode_all': 0, 'center': 9, 'tl': 0, 'tr': 0, 'bl': 9, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 3, 'bbox_bl': 9, 'bbox_br': 0, 'bbox_center': 0, 'color3_count': 14, 'color3_bbox_h': 5, 'color3_bbox_w': 4, 'color9_count': 18, 'color9_bbox_h': 5, 'color9_bbox_w': 6}"
9,7,"(1, 1, 1, 1)","{'mode_nz': 7, 'least_nz': 9, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 9, 'bbox_tl': 7, 'bbox_tr': 0, 'bbox_bl': 0, 'bbox_br': 9, 'bbox_center': 7, 'color7_count': 22, 'color7_bbox_h': 5, 'color7_bbox_w': 8, 'color9_count': 10, 'color9_bbox_h': 4, 'color9_bbox_w': 3}"
