idx,target,mode_low,mode_ok,target_stat,stats,rules_hit
0,8,8,True,"{'color': 8, 'count': 14, 'rank': 0, 'bbox_h': 4, 'bbox_w': 5, 'bbox_area': 20, 'on_edge': 0, 'r0': 5, 'c0': 3, 'r1': 8, 'c1': 7}","[{'color': 8, 'count': 14, 'rank': 0, 'bbox_h': 4, 'bbox_w': 5, 'bbox_area': 20, 'on_edge': 0, 'r0': 5, 'c0': 3, 'r1': 8, 'c1': 7}, {'color': 7, 'count': 12, 'rank': 1, 'bbox_h': 4, 'bbox_w': 4, 'bbox_area': 16, 'on_edge': 1, 'r0': 0, 'c0': 1, 'r1': 3, 'c1': 4}]","['count_max', 'bbox_w_max', 'bbox_area_max', 'on_edge_min', 'r0_max', 'c0_max', 'r1_max', 'c1_max', 'rank0', 'mode_low', 'mode_high']"
1,7,7,True,"{'color': 7, 'count': 16, 'rank': 0, 'bbox_h': 4, 'bbox_w': 6, 'bbox_area': 24, 'on_edge': 0, 'r0': 5, 'c0': 2, 'r1': 8, 'c1': 7}","[{'color': 7, 'count': 16, 'rank': 0, 'bbox_h': 4, 'bbox_w': 6, 'bbox_area': 24, 'on_edge': 0, 'r0': 5, 'c0': 2, 'r1': 8, 'c1': 7}, {'color': 6, 'count': 14, 'rank': 1, 'bbox_h': 4, 'bbox_w': 5, 'bbox_area': 20, 'on_edge': 1, 'r0': 0, 'c0': 0, 'r1': 3, 'c1': 4}]","['count_max', 'bbox_w_max', 'bbox_area_max', 'on_edge_min', 'r0_max', 'c0_max', 'r1_max', 'c1_max', 'rank0', 'mode_low', 'mode_high']"
2,4,4,True,"{'color': 4, 'count': 22, 'rank': 0, 'bbox_h': 7, 'bbox_w': 6, 'bbox_area': 42, 'on_edge': 1, 'r0': 0, 'c0': 1, 'r1': 6, 'c1': 6}","[{'color': 4, 'count': 22, 'rank': 0, 'bbox_h': 7, 'bbox_w': 6, 'bbox_area': 42, 'on_edge': 1, 'r0': 0, 'c0': 1, 'r1': 6, 'c1': 6}, {'color': 2, 'count': 8, 'rank': 1, 'bbox_h': 3, 'bbox_w': 3, 'bbox_area': 9, 'on_edge': 1, 'r0': 7, 'c0': 7, 'r1': 9, 'c1': 9}]","['count_max', 'bbox_h_max', 'bbox_w_max', 'bbox_area_max', 'r0_min', 'c0_min', 'r1_min', 'c1_min', 'rank0', 'mode_low', 'mode_high']"
3,3,3,True,"{'color': 3, 'count': 24, 'rank': 0, 'bbox_h': 9, 'bbox_w': 5, 'bbox_area': 45, 'on_edge': 1, 'r0': 0, 'c0': 0, 'r1': 8, 'c1': 4}","[{'color': 3, 'count': 24, 'rank': 0, 'bbox_h': 9, 'bbox_w': 5, 'bbox_area': 45, 'on_edge': 1, 'r0': 0, 'c0': 0, 'r1': 8, 'c1': 4}, {'color': 9, 'count': 24, 'rank': 1, 'bbox_h': 10, 'bbox_w': 4, 'bbox_area': 40, 'on_edge': 1, 'r0': 0, 'c0': 6, 'r1': 9, 'c1': 9}]","['count_max', 'count_min', 'bbox_h_min', 'bbox_w_max', 'bbox_area_max', 'on_edge_max', 'on_edge_min', 'r0_max', 'r0_min', 'c0_min', 'r1_min', 'c1_min', 'rank0', 'mode_low']"
4,7,7,True,"{'color': 7, 'count': 30, 'rank': 0, 'bbox_h': 7, 'bbox_w': 10, 'bbox_area': 70, 'on_edge': 1, 'r0': 0, 'c0': 0, 'r1': 6, 'c1': 9}","[{'color': 7, 'count': 30, 'rank': 0, 'bbox_h': 7, 'bbox_w': 10, 'bbox_area': 70, 'on_edge': 1, 'r0': 0, 'c0': 0, 'r1': 6, 'c1': 9}, {'color': 4, 'count': 12, 'rank': 1, 'bbox_h': 3, 'bbox_w': 5, 'bbox_area': 15, 'on_edge': 1, 'r0': 7, 'c0': 2, 'r1': 9, 'c1': 6}]","['count_max', 'bbox_h_max', 'bbox_w_max', 'bbox_area_max', 'r0_min', 'c0_min', 'r1_min', 'c1_max', 'rank0', 'mode_low', 'mode_high']"
5,7,7,True,"{'color': 7, 'count': 18, 'rank': 0, 'bbox_h': 6, 'bbox_w': 5, 'bbox_area': 30, 'on_edge': 1, 'r0': 4, 'c0': 4, 'r1': 9, 'c1': 8}","[{'color': 7, 'count': 18, 'rank': 0, 'bbox_h': 6, 'bbox_w': 5, 'bbox_area': 30, 'on_edge': 1, 'r0': 4, 'c0': 4, 'r1': 9, 'c1': 8}, {'color': 9, 'count': 10, 'rank': 1, 'bbox_h': 4, 'bbox_w': 3, 'bbox_area': 12, 'on_edge': 1, 'r0': 4, 'c0': 0, 'r1': 7, 'c1': 2}]","['count_max', 'bbox_h_max', 'bbox_w_max', 'bbox_area_max', 'on_edge_max', 'on_edge_min', 'r0_max', 'r0_min', 'c0_max', 'r1_max', 'c1_max', 'rank0', 'mode_low', 'mode_high']"
6,3,3,True,"{'color': 3, 'count': 14, 'rank': 0, 'bbox_h': 3, 'bbox_w': 6, 'bbox_area': 18, 'on_edge': 1, 'r0': 5, 'c0': 4, 'r1': 7, 'c1': 9}","[{'color': 3, 'count': 14, 'rank': 0, 'bbox_h': 3, 'bbox_w': 6, 'bbox_area': 18, 'on_edge': 1, 'r0': 5, 'c0': 4, 'r1': 7, 'c1': 9}, {'color': 7, 'count': 10, 'rank': 1, 'bbox_h': 4, 'bbox_w': 3, 'bbox_area': 12, 'on_edge': 1, 'r0': 5, 'c0': 0, 'r1': 8, 'c1': 2}]","['count_max', 'bbox_h_min', 'bbox_w_max', 'bbox_area_max', 'on_edge_max', 'on_edge_min', 'r0_max', 'r0_min', 'c0_max', 'r1_min', 'c1_max', 'rank0', 'mode_low', 'mode_high']"
7,1,1,True,"{'color': 1, 'count': 18, 'rank': 0, 'bbox_h': 3, 'bbox_w': 8, 'bbox_area': 24, 'on_edge': 0, 'r0': 6, 'c0': 1, 'r1': 8, 'c1': 8}","[{'color': 1, 'count': 18, 'rank': 0, 'bbox_h': 3, 'bbox_w': 8, 'bbox_area': 24, 'on_edge': 0, 'r0': 6, 'c0': 1, 'r1': 8, 'c1': 8}, {'color': 3, 'count': 12, 'rank': 1, 'bbox_h': 5, 'bbox_w': 3, 'bbox_area': 15, 'on_edge': 1, 'r0': 0, 'c0': 5, 'r1': 4, 'c1': 7}]","['count_max', 'bbox_h_min', 'bbox_w_max', 'bbox_area_max', 'on_edge_min', 'r0_max', 'c0_min', 'r1_max', 'c1_max', 'rank0', 'mode_low', 'mode_high']"
8,9,9,True,"{'color': 9, 'count': 18, 'rank': 0, 'bbox_h': 5, 'bbox_w': 6, 'bbox_area': 30, 'on_edge': 1, 'r0': 5, 'c0': 0, 'r1': 9, 'c1': 5}","[{'color': 9, 'count': 18, 'rank': 0, 'bbox_h': 5, 'bbox_w': 6, 'bbox_area': 30, 'on_edge': 1, 'r0': 5, 'c0': 0, 'r1': 9, 'c1': 5}, {'color': 3, 'count': 14, 'rank': 1, 'bbox_h': 5, 'bbox_w': 4, 'bbox_area': 20, 'on_edge': 1, 'r0': 3, 'c0': 6, 'r1': 7, 'c1': 9}]","['count_max', 'bbox_w_max', 'bbox_area_max', 'r0_max', 'c0_min', 'r1_max', 'c1_min', 'rank0', 'mode_low', 'mode_high']"
9,7,7,True,"{'color': 7, 'count': 22, 'rank': 0, 'bbox_h': 5, 'bbox_w': 8, 'bbox_area': 40, 'on_edge': 1, 'r0': 0, 'c0': 1, 'r1': 4, 'c1': 8}","[{'color': 7, 'count': 22, 'rank': 0, 'bbox_h': 5, 'bbox_w': 8, 'bbox_area': 40, 'on_edge': 1, 'r0': 0, 'c0': 1, 'r1': 4, 'c1': 8}, {'color': 9, 'count': 10, 'rank': 1, 'bbox_h': 4, 'bbox_w': 3, 'bbox_area': 12, 'on_edge': 1, 'r0': 6, 'c0': 7, 'r1': 9, 'c1': 9}]","['count_max', 'bbox_h_max', 'bbox_w_max', 'bbox_area_max', 'on_edge_max', 'on_edge_min', 'r0_min', 'c0_min', 'r1_min', 'c1_min', 'rank0', 'mode_low', 'mode_high']"
