idx,target,target_count_rank,stats,rules_hit
0,6,2,"[{'color': 1, 'count': 4, 'bbox_h': 2, 'bbox_w': 2, 'bbox_area': 4, 'r0': 3, 'c0': 5, 'r1': 4, 'c1': 6, 'edge_count': 0, 'largest_component': 4}, {'color': 2, 'count': 15, 'bbox_h': 3, 'bbox_w': 5, 'bbox_area': 15, 'r0': 7, 'c0': 3, 'r1': 9, 'c1': 7, 'edge_count': 0, 'largest_component': 15}, {'color': 3, 'count': 9, 'bbox_h': 3, 'bbox_w': 3, 'bbox_area': 9, 'r0': 1, 'c0': 8, 'r1': 3, 'c1': 10, 'edge_count': 0, 'largest_component': 9}, {'color': 4, 'count': 6, 'bbox_h': 2, 'bbox_w': 3, 'bbox_area': 6, 'r0': 11, 'c0': 0, 'r1': 12, 'c1': 2, 'edge_count': 2, 'largest_component': 6}, {'color': 6, 'count': 10, 'bbox_h': 4, 'bbox_w': 3, 'bbox_area': 12, 'r0': 1, 'c0': 1, 'r1': 4, 'c1': 3, 'edge_count': 0, 'largest_component': 10}, {'color': 7, 'count': 9, 'bbox_h': 3, 'bbox_w': 3, 'bbox_area': 9, 'r0': 5, 'c0': 9, 'r1': 7, 'c1': 11, 'edge_count': 0, 'largest_component': 9}, {'color': 8, 'count': 12, 'bbox_h': 3, 'bbox_w': 4, 'bbox_area': 12, 'r0': 11, 'c0': 8, 'r1': 13, 'c1': 11, 'edge_count': 0, 'largest_component': 12}]","['bbox_h_max_low', 'bbox_h_max_high', 'r0_min_high', 'count_rank2']"
1,5,0,"[{'color': 2, 'count': 18, 'bbox_h': 6, 'bbox_w': 3, 'bbox_area': 18, 'r0': 6, 'c0': 3, 'r1': 11, 'c1': 5, 'edge_count': 0, 'largest_component': 18}, {'color': 4, 'count': 20, 'bbox_h': 4, 'bbox_w': 5, 'bbox_area': 20, 'r0': 11, 'c0': 10, 'r1': 14, 'c1': 14, 'edge_count': 5, 'largest_component': 20}, {'color': 5, 'count': 24, 'bbox_h': 7, 'bbox_w': 4, 'bbox_area': 28, 'r0': 3, 'c0': 7, 'r1': 9, 'c1': 10, 'edge_count': 0, 'largest_component': 24}, {'color': 7, 'count': 24, 'bbox_h': 6, 'bbox_w': 4, 'bbox_area': 24, 'r0': 0, 'c0': 13, 'r1': 5, 'c1': 16, 'edge_count': 9, 'largest_component': 24}, {'color': 8, 'count': 15, 'bbox_h': 3, 'bbox_w': 5, 'bbox_area': 15, 'r0': 2, 'c0': 0, 'r1': 4, 'c1': 4, 'edge_count': 3, 'largest_component': 15}]","['count_max_low', 'bbox_h_max_low', 'bbox_h_max_high', 'bbox_area_max_low', 'bbox_area_max_high', 'edge_count_min_high', 'largest_component_max_low', 'count_rank0']"
2,2,2,"[{'color': 1, 'count': 30, 'bbox_h': 5, 'bbox_w': 6, 'bbox_area': 30, 'r0': 1, 'c0': 2, 'r1': 5, 'c1': 7, 'edge_count': 0, 'largest_component': 30}, {'color': 2, 'count': 29, 'bbox_h': 5, 'bbox_w': 7, 'bbox_area': 35, 'r0': 9, 'c0': 2, 'r1': 13, 'c1': 8, 'edge_count': 0, 'largest_component': 29}, {'color': 3, 'count': 30, 'bbox_h': 6, 'bbox_w': 5, 'bbox_area': 30, 'r0': 2, 'c0': 10, 'r1': 7, 'c1': 14, 'edge_count': 0, 'largest_component': 30}, {'color': 7, 'count': 20, 'bbox_h': 4, 'bbox_w': 5, 'bbox_area': 20, 'r0': 9, 'c0': 11, 'r1': 12, 'c1': 15, 'edge_count': 0, 'largest_component': 20}]","['bbox_w_max_low', 'bbox_w_max_high', 'bbox_area_max_low', 'bbox_area_max_high', 'r0_max_low', 'c0_min_high', 'r1_max_low', 'r1_max_high', 'count_rank2']"
3,7,4,"[{'color': 2, 'count': 48, 'bbox_h': 6, 'bbox_w': 8, 'bbox_area': 48, 'r0': 1, 'c0': 0, 'r1': 6, 'c1': 7, 'edge_count': 6, 'largest_component': 48}, {'color': 3, 'count': 20, 'bbox_h': 5, 'bbox_w': 4, 'bbox_area': 20, 'r0': 0, 'c0': 10, 'r1': 4, 'c1': 13, 'edge_count': 4, 'largest_component': 20}, {'color': 4, 'count': 16, 'bbox_h': 4, 'bbox_w': 4, 'bbox_area': 16, 'r0': 6, 'c0': 9, 'r1': 9, 'c1': 12, 'edge_count': 0, 'largest_component': 16}, {'color': 5, 'count': 9, 'bbox_h': 3, 'bbox_w': 3, 'bbox_area': 9, 'r0': 8, 'c0': 1, 'r1': 10, 'c1': 3, 'edge_count': 0, 'largest_component': 9}, {'color': 7, 'count': 10, 'bbox_h': 3, 'bbox_w': 4, 'bbox_area': 12, 'r0': 11, 'c0': 10, 'r1': 13, 'c1': 13, 'edge_count': 4, 'largest_component': 10}, {'color': 8, 'count': 16, 'bbox_h': 4, 'bbox_w': 4, 'bbox_area': 16, 'r0': 9, 'c0': 4, 'r1': 12, 'c1': 7, 'edge_count': 0, 'largest_component': 16}]","['bbox_h_min_high', 'r0_max_low', 'r0_max_high', 'c0_max_high', 'r1_max_low', 'r1_max_high', 'c1_max_high']"
4,9,2,"[{'color': 4, 'count': 6, 'bbox_h': 2, 'bbox_w': 3, 'bbox_area': 6, 'r0': 8, 'c0': 7, 'r1': 9, 'c1': 9, 'edge_count': 0, 'largest_component': 6}, {'color': 5, 'count': 18, 'bbox_h': 6, 'bbox_w': 3, 'bbox_area': 18, 'r0': 2, 'c0': 9, 'r1': 7, 'c1': 11, 'edge_count': 6, 'largest_component': 18}, {'color': 8, 'count': 18, 'bbox_h': 3, 'bbox_w': 6, 'bbox_area': 18, 'r0': 12, 'c0': 0, 'r1': 14, 'c1': 5, 'edge_count': 3, 'largest_component': 18}, {'color': 9, 'count': 8, 'bbox_h': 3, 'bbox_w': 3, 'bbox_area': 9, 'r0': 1, 'c0': 5, 'r1': 3, 'c1': 7, 'edge_count': 0, 'largest_component': 8}]","['bbox_w_min_high', 'r0_min_low', 'r0_min_high', 'r1_min_low', 'r1_min_high', 'edge_count_min_high', 'count_rank2']"
5,9,3,"[{'color': 4, 'count': 18, 'bbox_h': 3, 'bbox_w': 6, 'bbox_area': 18, 'r0': 0, 'c0': 6, 'r1': 2, 'c1': 11, 'edge_count': 6, 'largest_component': 18}, {'color': 5, 'count': 28, 'bbox_h': 7, 'bbox_w': 4, 'bbox_area': 28, 'r0': 5, 'c0': 1, 'r1': 11, 'c1': 4, 'edge_count': 0, 'largest_component': 28}, {'color': 8, 'count': 30, 'bbox_h': 5, 'bbox_w': 6, 'bbox_area': 30, 'r0': 4, 'c0': 7, 'r1': 8, 'c1': 12, 'edge_count': 0, 'largest_component': 30}, {'color': 9, 'count': 10, 'bbox_h': 4, 'bbox_w': 3, 'bbox_area': 12, 'r0': 9, 'c0': 5, 'r1': 12, 'c1': 7, 'edge_count': 0, 'largest_component': 10}]","['count_min_low', 'count_min_high', 'bbox_w_min_low', 'bbox_w_min_high', 'bbox_area_min_low', 'bbox_area_min_high', 'r0_max_low', 'r0_max_high', 'r1_max_low', 'r1_max_high', 'edge_count_min_high', 'largest_component_min_low', 'largest_component_min_high', 'count_rank3']"
6,5,3,"[{'color': 5, 'count': 14, 'bbox_h': 3, 'bbox_w': 6, 'bbox_area': 18, 'r0': 9, 'c0': 1, 'r1': 11, 'c1': 6, 'edge_count': 0, 'largest_component': 14}, {'color': 6, 'count': 24, 'bbox_h': 6, 'bbox_w': 4, 'bbox_area': 24, 'r0': 2, 'c0': 0, 'r1': 7, 'c1': 3, 'edge_count': 6, 'largest_component': 24}, {'color': 7, 'count': 16, 'bbox_h': 2, 'bbox_w': 8, 'bbox_area': 16, 'r0': 7, 'c0': 7, 'r1': 8, 'c1': 14, 'edge_count': 0, 'largest_component': 16}, {'color': 9, 'count': 48, 'bbox_h': 6, 'bbox_w': 8, 'bbox_area': 48, 'r0': 1, 'c0': 9, 'r1': 6, 'c1': 16, 'edge_count': 0, 'largest_component': 48}]","['count_min_low', 'count_min_high', 'r0_max_low', 'r0_max_high', 'r1_max_low', 'r1_max_high', 'edge_count_min_low', 'largest_component_min_low', 'largest_component_min_high', 'count_rank3']"
7,7,1,"[{'color': 3, 'count': 9, 'bbox_h': 3, 'bbox_w': 3, 'bbox_area': 9, 'r0': 0, 'c0': 8, 'r1': 2, 'c1': 10, 'edge_count': 3, 'largest_component': 9}, {'color': 4, 'count': 4, 'bbox_h': 2, 'bbox_w': 2, 'bbox_area': 4, 'r0': 11, 'c0': 9, 'r1': 12, 'c1': 10, 'edge_count': 0, 'largest_component': 4}, {'color': 5, 'count': 35, 'bbox_h': 7, 'bbox_w': 5, 'bbox_area': 35, 'r0': 3, 'c0': 10, 'r1': 9, 'c1': 14, 'edge_count': 0, 'largest_component': 35}, {'color': 6, 'count': 12, 'bbox_h': 4, 'bbox_w': 3, 'bbox_area': 12, 'r0': 11, 'c0': 3, 'r1': 14, 'c1': 5, 'edge_count': 3, 'largest_component': 12}, {'color': 7, 'count': 27, 'bbox_h': 5, 'bbox_w': 6, 'bbox_area': 30, 'r0': 5, 'c0': 2, 'r1': 9, 'c1': 7, 'edge_count': 0, 'largest_component': 27}, {'color': 8, 'count': 4, 'bbox_h': 2, 'bbox_w': 2, 'bbox_area': 4, 'r0': 0, 'c0': 14, 'r1': 1, 'c1': 15, 'edge_count': 3, 'largest_component': 4}]","['bbox_w_max_low', 'bbox_w_max_high', 'c0_min_low', 'c0_min_high', 'edge_count_min_high', 'count_rank1']"
8,3,0,"[{'color': 1, 'count': 10, 'bbox_h': 5, 'bbox_w': 2, 'bbox_area': 10, 'r0': 1, 'c0': 10, 'r1': 5, 'c1': 11, 'edge_count': 0, 'largest_component': 10}, {'color': 2, 'count': 8, 'bbox_h': 4, 'bbox_w': 2, 'bbox_area': 8, 'r0': 6, 'c0': 12, 'r1': 9, 'c1': 13, 'edge_count': 0, 'largest_component': 8}, {'color': 3, 'count': 26, 'bbox_h': 4, 'bbox_w': 7, 'bbox_area': 28, 'r0': 7, 'c0': 3, 'r1': 10, 'c1': 9, 'edge_count': 0, 'largest_component': 26}, {'color': 4, 'count': 12, 'bbox_h': 2, 'bbox_w': 6, 'bbox_area': 12, 'r0': 15, 'c0': 6, 'r1': 16, 'c1': 11, 'edge_count': 6, 'largest_component': 12}, {'color': 6, 'count': 8, 'bbox_h': 4, 'bbox_w': 2, 'bbox_area': 8, 'r0': 13, 'c0': 2, 'r1': 16, 'c1': 3, 'edge_count': 2, 'largest_component': 8}, {'color': 7, 'count': 14, 'bbox_h': 7, 'bbox_w': 2, 'bbox_area': 14, 'r0': 6, 'c0': 0, 'r1': 12, 'c1': 1, 'edge_count': 7, 'largest_component': 14}, {'color': 8, 'count': 6, 'bbox_h': 2, 'bbox_w': 3, 'bbox_area': 6, 'r0': 3, 'c0': 7, 'r1': 4, 'c1': 9, 'edge_count': 0, 'largest_component': 6}]","['count_max_low', 'count_max_high', 'bbox_w_max_low', 'bbox_w_max_high', 'bbox_area_max_low', 'bbox_area_max_high', 'largest_component_max_low', 'largest_component_max_high', 'count_rank0']"
9,7,5,"[{'color': 1, 'count': 48, 'bbox_h': 6, 'bbox_w': 8, 'bbox_area': 48, 'r0': 11, 'c0': 8, 'r1': 16, 'c1': 15, 'edge_count': 8, 'largest_component': 48}, {'color': 2, 'count': 35, 'bbox_h': 5, 'bbox_w': 7, 'bbox_area': 35, 'r0': 1, 'c0': 0, 'r1': 5, 'c1': 6, 'edge_count': 5, 'largest_component': 35}, {'color': 3, 'count': 16, 'bbox_h': 4, 'bbox_w': 4, 'bbox_area': 16, 'r0': 0, 'c0': 10, 'r1': 3, 'c1': 13, 'edge_count': 4, 'largest_component': 16}, {'color': 4, 'count': 15, 'bbox_h': 3, 'bbox_w': 5, 'bbox_area': 15, 'r0': 8, 'c0': 5, 'r1': 10, 'c1': 9, 'edge_count': 0, 'largest_component': 15}, {'color': 6, 'count': 12, 'bbox_h': 3, 'bbox_w': 4, 'bbox_area': 12, 'r0': 5, 'c0': 9, 'r1': 7, 'c1': 12, 'edge_count': 0, 'largest_component': 12}, {'color': 7, 'count': 8, 'bbox_h': 3, 'bbox_w': 3, 'bbox_area': 9, 'r0': 13, 'c0': 0, 'r1': 15, 'c1': 2, 'edge_count': 3, 'largest_component': 8}]","['count_min_low', 'count_min_high', 'bbox_h_min_high', 'bbox_w_min_low', 'bbox_w_min_high', 'bbox_area_min_low', 'bbox_area_min_high', 'r0_max_low', 'r0_max_high', 'c0_min_high', 'c1_min_low', 'c1_min_high', 'largest_component_min_low', 'largest_component_min_high']"
