rule,pass_count,fail_count
count_rank2,76,189
r1_max_high,63,202
edge_count_min_low,62,203
count_rank1,61,204
r0_max_low,58,207
bbox_area_max_low,57,208
bbox_area_max_high,56,209
edge_count_min_high,56,209
r1_max_low,56,209
c1_max_low,54,211
bbox_h_max_low,52,213
bbox_w_max_high,52,213
edge_count_max_low,52,213
c0_min_high,51,214
r0_max_high,51,214
bbox_h_max_high,50,215
bbox_w_max_low,50,215
c1_max_high,50,215
c1_min_high,50,215
c0_min_low,49,216
c1_min_low,49,216
r0_min_low,49,216
count_rank3,48,217
r0_min_high,48,217
c0_max_low,47,218
c0_max_high,46,219
r1_min_high,46,219
r1_min_low,45,220
edge_count_max_high,43,222
count_max_high,38,227
largest_component_max_high,38,227
count_max_low,37,228
count_rank0,37,228
largest_component_max_low,37,228
bbox_w_min_high,28,237
count_min_high,27,238
count_min_low,27,238
largest_component_min_high,27,238
largest_component_min_low,27,238
bbox_h_min_high,21,244
bbox_h_min_low,19,246
bbox_area_min_high,18,247
bbox_area_min_low,17,248
bbox_w_min_low,13,252
