idx,template,color,features
0,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 5, 'bbox_w': 4, 'bbox_area': 20, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
1,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 8, 'bbox_w': 5, 'bbox_area': 40, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
2,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 7, 'bbox_w': 7, 'bbox_area': 49, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
3,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 7, 'bbox_w': 5, 'bbox_area': 35, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
4,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 4, 'bbox_w': 4, 'bbox_area': 16, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
5,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 5, 'bbox_w': 5, 'bbox_area': 25, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
6,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 8, 'bbox_w': 5, 'bbox_area': 40, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
7,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 6, 'bbox_w': 8, 'bbox_area': 48, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
8,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 5, 'bbox_w': 4, 'bbox_area': 20, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
9,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 6, 'bbox_w': 4, 'bbox_area': 24, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
