task_id,route,template_name,baseline_cost,candidate_cost,baseline_points,candidate_points,file_bytes,validation_status,status,reason,sha256
133,sparse_edit_or_object_completion,greedy1_And_node39_to_input1,196688,195788,12.810626004092878,12.81521227982716,12573,full_arc_pass,improved,ok,9c2fcfce3dc9a8058c105f79c548b870665a6c491405b991f1a9141323f6e9ec
204,sparse_edit_or_object_completion,greedy1_Mul_node8_to_input0,104544,102744,13.442636685599203,13.460004263507109,5496,full_arc_pass,improved,ok,d127d72a8d774d80843d3170542522151fdaa1ad31591bb278d33b3af361eec7
216,crop_or_resize,greedy1_Greater_node6_to_input0,103572,103542,13.451977697992342,13.452267393524366,19647,full_arc_pass,improved,ok,25dc406b8158be682950293d63ee2bf3fa80b69b16d4effccef73936b30b01f3
54,sparse_edit_or_object_completion,greedy1_Where_node41_to_input2,150548,150546,13.07796275080141,13.077976035689186,8791,full_arc_pass,improved,ok,e258ca5a5dbf550408bd64679216c8c23b940e44dc7794c383074201e393f631
280,sparse_edit_or_object_completion,greedy1_Where_node11_to_input1,90506,89706,13.586828574167079,13.595707064558017,13453,full_arc_pass,improved,ok,ce27810cd07419e581a8214347892215b9cb39ccb00eaf3ef7e23f47cccc7b33
205,crop_or_resize,greedy1_Where_node18_to_input1,112313,112309,13.370955104619776,13.37099072000919,38948,full_arc_pass,improved,ok,6f25690a9a5ab85da68f54cf423a0c386337eeb93a4c54084b91719761f4496a
382,sparse_edit_or_object_completion,greedy1_And_node38_to_input0,107354,107353,13.416112936092428,13.416122251112432,23809,full_arc_pass,improved,ok,a0e8918e874129576c5f7939d42f2a29403a190d221a715724a7f481dda89ed0
239,crop_or_resize,greedy1_Reshape_node29_to_input0,94477,92677,13.54388830238479,13.563124391420835,3610,full_arc_pass,improved,ok,71ac0977f088524d184c9b0a45071cf8421325df46299e4a651448742c564e8c
398,crop_or_resize,greedy1_And_node12_to_input0,84295,83670,13.657922169750098,13.665364230710356,9688,full_arc_pass,improved,ok,1ce6f3a3e38a3f86546468d3d79a25cf981e24844b717df00bdd757bcad86ed6
275,crop_or_resize,greedy1_Gather_node13_to_input0,83879,83843,13.662869436848247,13.66329871864256,25637,full_arc_pass,improved,ok,759895945c234dcd6c9c5d38130e9542357ee63bdcd8dc65824bf742925f085a
158,sparse_edit_or_object_completion,greedy1_Unsqueeze_node9_to_input0,193266,191466,12.8281772426697,12.83753447385217,26168,full_arc_pass,improved,ok,11df5f8423d8b6ef4b0bc30ad48f5757efffc1336d88685ec1ecf48a70c5dab8
234,sparse_edit_or_object_completion,greedy1_Where_node36_to_input1,81703,81685,13.689154000119816,13.68937433453939,4815,full_arc_pass,improved,ok,b2cbecdd3988a0d7412854fca63fe73e8b390f91ca59dba2714ef7f5641c0880
19,crop_or_resize,greedy1_Add_node28_to_input1,81346,79546,13.69353305881371,13.715909250339273,3154,full_arc_pass,improved,ok,7f1712f39c21d0e7c3aeb9caa362bc940c15a78dad71b0fea41b4f9e6c738417
