task_id,route,template_name,baseline_cost,candidate_cost,baseline_points,candidate_points,file_bytes,validation_status,status,reason,sha256
383,sparse_edit_or_object_completion,greedy1_And_node7_to_input0,127241,126341,13.246161795004017,13.253260120429037,4503,full_arc_pass,improved,ok,b0d70a391e5a51455da1ff56020198bcbf02acfc86ca3b8ec9c642ed900eafc2
281,sparse_edit_or_object_completion,greedy1_Reshape_node25_to_input0,88615,88585,13.60794357751076,13.608282177965462,6163,full_arc_pass,improved,ok,f02f5896a74b486627475723a66b207aac3b479cee0c394bfc65a5ad2454775c
264,crop_or_resize,greedy1_Mul_node24_to_input0,79536,78080,13.716034971665547,13.734510778913027,8430,full_arc_pass,improved,ok,0c720c8025e7555d044b59ddc014d12a450190ede5ec20e76e6200180e9ddd3d
284,sparse_edit_or_object_completion,greedy1_Reshape_node26_to_input0,101133,101125,13.475808238755878,13.475887345639206,24391,full_arc_pass,improved,ok,cdce0da8ccf71489758b38741f32107a08132099388bb5eab9cedacda523a2c8
370,sparse_edit_or_object_completion,greedy1_Mul_node5_to_input0,108290,108250,13.407431907377575,13.407801354135264,12230,full_arc_pass,improved,ok,67380bb4e28c1395728874644a710b2e3f8712fc82fdb93bcf47f8442bdb92f9
208,sparse_edit_or_object_completion,greedy1_And_node22_to_input0,92273,92264,13.56749314667969,13.567590688094226,18140,full_arc_pass,improved,ok,25a3892ff487c131f9b13d1862553bd270b1fa5a842b10881358c8c993e0702f
25,sparse_edit_or_object_completion,greedy1_Greater_node8_to_input0,491600,490700,11.894579343325983,11.896411777922005,46845,full_arc_pass,improved,ok,82847ca9a83ea4b6491f2653c9879a7d1927deaa41e96700ea0730a61528acc7
77,sparse_edit_or_object_completion,greedy1_Sub_node7_to_input0,157494,156654,13.032857358715912,13.038205169314322,8912,full_arc_pass,improved,ok,a82f14547a512d3ce131e64413a8570f2aa15037a16843da251a891c33d0e1ef
255,same_shape_global_transform,greedy1_Reshape_node14_to_input0,68987,68983,13.858326639968308,13.85838462358795,34612,full_arc_pass,improved,ok,0381a21597f05412dfc3015c092e8f00575af370e2c979397fcf6cd1ef895f13
191,sparse_edit_or_object_completion,greedy1_Unsqueeze_node9_to_input0,73993,73985,13.788274226882638,13.788382351063365,45609,full_arc_pass,improved,ok,99128efe33dd5e393c780cb448dbfd3f0f7d759d16be3759bb768104f4f6af28
379,sparse_edit_or_object_completion,greedy1_Sub_node18_to_input0,72499,72459,13.808671952355807,13.8092238363638,12605,full_arc_pass,improved,ok,411c7a30c0eea765dee72915bbeaade5b429909602e43ac19807608d616fb1de
340,sparse_edit_or_object_completion,greedy1_Cast_node0_to_input0,70342,52342,13.83887566105239,14.134445612953133,6247,full_arc_pass,improved,ok,da0dba125f64b2ecb9cfe2dadf7f6d93b1b9e08196a921b05d45dc912a8cdc72
51,sparse_edit_or_object_completion,greedy1_Unsqueeze_node15_to_input0,68429,68421,13.866448009633856,13.86656492596574,5001,full_arc_pass,improved,ok,477d186002636e0698f5469ba3932592c19d9313e501b8e6309f19be229f04f9
243,sparse_edit_or_object_completion,greedy1_Unsqueeze_node3_to_input0,67878,67874,13.874532744845478,13.874591675837303,18523,full_arc_pass,improved,ok,e1a6e334da74c070aa9904d4f40a45a2403b268bb922846a5cca0f954d037b4d
209,crop_or_resize,greedy1_Unsqueeze_node3_to_input0,67337,67253,13.882534858321867,13.883783093865468,61168,full_arc_pass,improved,ok,2cdbbb6dff2b92fec8f086974e302273981afd08b7326326a0805db0edb5a5a6
101,sparse_edit_or_object_completion,greedy1_Unsqueeze_node15_to_input0,65875,65867,13.904485714156337,13.904607163656266,34028,full_arc_pass,improved,ok,536eefe6d215a0ea6027443e6e4aad02ad6292a6702b0cbdaddba518bce4910b
