task_id,template_name,full_arc_ok,passed,failed,reason,sha256
30,greedy1_Where_node33_to_input1,True,266,0,ok,96a1aa496d3060787881c3a8cfb2e9c025532dfcac03bccd3f8a41231bc3983f
345,greedy1_Pad_node8_to_input0,True,264,0,ok,0b417a7c0911fe5a0bc8bd37db8e173696baab85f9b31acb24acfd53eb8ba9cd
124,greedy1_Sub_node7_to_input0,True,267,0,ok,6e30a87262fa4215170ce81f9fb1298ac43299bcd3464260a441ec0ad3d1c333
78,greedy1_Mul_node22_to_input0,True,266,0,ok,76cb38becdb971f75b593bc2a45cef0777fb19be4d3f0778bac996e826ef076a
153,greedy1_Reshape_node7_to_input0,True,265,0,ok,53c7fc47a0ee159835b0a7665d93be66fac049a1636353970aac412039790c2e
188,greedy1_Sub_node31_to_input0,True,266,0,ok,3b3abd838c19349ec4272ace8948588f4eb331486db6d46edcafec3542a90670
329,greedy1_Min_node13_to_input0,True,266,0,ok,cc54734880c7589f7fed4cea85560523891a93a19672fb718f513a97c1312cb0
212,greedy1_Where_node17_to_input1,True,265,0,ok,f646f35b410ece6807a3735281c52085da1af2e379fe48661149a8f5681c7ee5
50,greedy1_Cast_node1_to_input0,True,271,0,ok,f342fb1fe6c5f4addbee2c330f636f529e19fcef4cfcd43e952aa9ca4febae71
3,greedy1_Sub_node14_to_input0,True,265,0,ok,0e3ea6deacb21536db532af94144cf87f40d53573e12c8b9ef025c276dd33cc1
254,greedy1_Mul_node25_to_input1,True,265,0,ok,4f3539fe40fb0f0c3312343672e6939c12aac0aced160126daa4c31cad029dfb
369,greedy1_Sub_node10_to_input0,True,265,0,ok,0cb7d296ce544ad550cb3a7dec4e67f942382ac2c686cb76cbe1cf23697b0dab
180,greedy1_Mul_node4_to_input0,True,268,0,ok,907846bfd9501d116495a438cc4fcfd051df07a3892a94a180f3d63c00beab7a
45,greedy1_Slice_node6_to_input0,True,265,0,ok,e40d43d6e9226cc2abb7806b70db4c2891f6fb0e1bf0ad1309be3d0c3c122f38
248,greedy1_And_node18_to_input0,True,13,0,ok,d46ece634303169ae3dfca2f2271402ffe5faf634837e9843e15594fa88090c0
357,greedy1_And_node18_to_input0,True,13,0,ok,11d020189ee27db9bce7c7da0c30acdf3e7937295d544d69dc93f94df68e6d52
273,greedy1_And_node15_to_input0,True,266,0,ok,dfc464ef60fcdfa1caf9ca393bb29796648334487d0b2b3c456f828ed5f4d0ee
