task_id,template_name,sample20_cost,sample20_points,full_arc_ok,passed,failed,reason,sha256
299,greedy1_Cast_node1_to_input0,1730,17.544123312508177,True,21,0,ok,c8b7e7620b34426a2d0f057c976ddcac69d7e4d2b1763c4de2d9e97742490e57
299,greedy1_Cast_node3_to_input0,1730,17.544123312508177,True,21,0,ok,af3f38d70a5d2781fe97a9c6da8909e31f23052f403d2c4323967d8fc6adf99b
229,greedy1_Reshape_node3_to_input0,1389,17.763660657245655,True,267,0,ok,27141bd718f1f76a1d2c668f71dbee934047d101dcf0bff4a55438b3c448192a
235,greedy1_Mul_node3_to_input0,1306,17.825275690163622,True,69,0,ok,ab7490995905010ce02944ab0f3f1a426f2a96ac08ee1b04cd2c2e8f06c18f68
235,greedy1_Mul_node14_to_input0,1306,17.825275690163622,True,69,0,ok,d7f40cd5cd2724207929ef322cf9046327213435af40c171207465f395702491
235,greedy1_Mul_node25_to_input0,1306,17.825275690163622,True,69,0,ok,5a19e6130259c124cb684e0230523d587301d74256392a5deac096484ff0f444
339,greedy1_Cast_node1_to_input0,742,18.39065075683262,True,266,0,ok,dfe63e3ad49c105d9723d33b00b9c13fac7611299df1dd8971a55bf1698079c2
129,greedy1_Cast_node1_to_input0,647,18.527653705499098,True,265,0,ok,ab699c9365d61118099d6010c09e9ab298f7c5ef542b09c2f43e0b11f5911a54
144,greedy1_Sub_node8_to_input0,739,18.394702079051797,True,267,0,ok,c2d0311c3a019bc0bbf94429f7084fbc8e2a4f6982c93ca5d05c121dd7b67bf9
318,greedy1_Sub_node9_to_input0,707,18.438969334103426,True,267,0,ok,40c1593e9ad3a6f433399d0e12054a488629eed66a355f61d9f7d9929ce41f34
26,greedy1_Sub_node8_to_input0,694,18.457528039493194,True,268,0,ok,c099908e650a6f19920add0caf0438ad769eda63b5dc9e05df7765fba6630cf1
