source_id,experiment,claimed_lb,local_estimate,kaggle_lb,status,adoption_gate,evidence_path,notes
exp_002_public_blend_6500_fast,exp002_public_blend_6500_fast,,6282.075718068686,,local_estimate_below_target,needs_full_arc_validation_and_lb_calibration,E:\kaggle\neurogolf-2026\experiments\exp002_public_blend_6500_fast\result.json,# exp002_public_blend_6500_fast notes  ## 仮説  公開artifact/sourceをtask別に収集し、`massimilianoghiotto/neurogolf2026-6254` をbaseに、static validationとofficial-like costで安い候補へ置換すれば、まずlocal推定6500台の `submission.zip` を作れる。  ## 実行条件  -
exp_008_extra_public_sources_strict,exp008_extra_public_sources_strict,,6282.075718068686,,local_estimate_below_target,needs_full_arc_validation_and_lb_calibration,E:\kaggle\neurogolf-2026\experiments\exp008_extra_public_sources_strict\result.json,
exp_067_public_notebook_utilization_audit,exp067_public_notebook_utilization_audit,,,,audit_ready,needs_full_arc_validation_and_lb_calibration,E:\kaggle\neurogolf-2026\experiments\exp067_public_notebook_utilization_audit\result.json,"# exp067_public_notebook_utilization_audit  ## 目的  ユーザー提示の公開notebook群を、既存blendの再利用ではなく、strict-safe compiler / surgery / task-priorへ変換する。  ## 結果  - 既にexp002へ含まれていた系統: `massimilianoghiotto`, `konbu17`, `vyankteshdwivedi`, "
b022_public_notebook_intelligence,exp_b022_public_notebook_intelligence,,,,intelligence_ready,teacher_only_until_full_arc_and_lb_calibration,E:\kaggle\neurogolf-2026\experiments\exp_b022_public_notebook_intelligence\result.json,# exp_b022_public_notebook_intelligence  ## 目的  ユーザー指定のKaggle notebookを取得し、blend/sourceとしてだけでなくrule/lowering知識として使えるように分類する。  ## Notebook Intelligence  - `karnak_all_task_description`: task_description_taxonomy / all-tas
b034_public6200_notebook_local_estimate,exp_b034_public6200_notebook_local_estimate,,,,estimate_complete,needs_full_arc_validation_and_lb_calibration,E:\kaggle\neurogolf-2026\experiments\exp_b034_public6200_notebook_local_estimate\result.json,# exp_b034_public6200_notebook_local_estimate  ## Hypothesis  ユーザー提供の LB 6200+ Kaggle notebooks は、直接 blend artifact として採用するより、既存の strict/full-arc/LB 較正に通したときの local estimate と必要 delta を見積もる材料として使うべきである。  ## Result  現在の s
b035_new_source_full_arc_blend,exp_b035_new_source_full_arc_blend,,6220.006945,,intelligence_only,teacher_only_until_full_arc_and_lb_calibration,E:\kaggle\neurogolf-2026\experiments\exp_b035_new_source_full_arc_blend\result.json,
b036_beicicc_full_arc_blend,exp_b036_beicicc_full_arc_blend,,6276.160646,,intelligence_only,teacher_only_until_full_arc_and_lb_calibration,E:\kaggle\neurogolf-2026\experiments\exp_b036_beicicc_full_arc_blend\result.json,
b037_beicicc_golf_blend,exp_b037_beicicc_golf_blend,,,,intelligence_only,teacher_only_until_full_arc_and_lb_calibration,E:\kaggle\neurogolf-2026\experiments\exp_b037_beicicc_golf_blend\result.json,
b038_comprehensive_blend,exp_b038_comprehensive_blend,,,,intelligence_only,teacher_only_until_full_arc_and_lb_calibration,E:\kaggle\neurogolf-2026\experiments\exp_b038_comprehensive_blend\notes.md,
b039_best_available_blend,exp_b039_best_available_blend,,,,intelligence_only,teacher_only_until_full_arc_and_lb_calibration,E:\kaggle\neurogolf-2026\experiments\exp_b039_best_available_blend\notes.md,
exp_130_public_code_6285_floor,exp130_public_code_6285_floor,,,1400.37,submission_floor_candidate_ready,needs_full_arc_validation_and_lb_calibration,E:\kaggle\neurogolf-2026\experiments\exp130_public_code_6285_floor\result.json,# exp130_public_code_6285_floor  ## Hypothesis  public CODEのbeicicc golf-domain artifactを提出候補へ昇格すれば、LB 6285を下限化できる可能性がある。  ## Result  - source: `exp_b037_beicicc_golf_blend` - status: `submission_floor_candidate_ready` -
