rounded_missing_drop,candidate_subsets,shown_subset_count
27.87,324 275;275 138,2
27.92,193 137;335 275,2
27.94,224 275;097 243,2
27.95,192 137;338 275,2
27.98,197 137;137 213;193 243,3
28.01,324 137;275 359;193 101,3
28.02,137 138;192 243,2
28.05,213 243;192 101,2
28.07,137 335;197 101,2
28.08,137 224;324 243;213 101,3
28.09,137 338;138 243,2
28.16,338 243;137 359;335 101,3
28.18,097 193;224 101,2
28.25,193 192;097 213;359 101,3
28.28,193 197;097 138,2
28.31,192 197;193 324,2
28.32,192 213;193 138,2
28.34,192 324;197 213,2
28.35,097 224;192 138,2
28.37,197 324;193 335;097 131,3
28.38,324 213;197 138,2
28.39,193 224;193 338;213 138,3
28.41,193 131;324 138,2
28.42,197 335;192 224;097 359,3
28.43,335 213;192 338,2
28.44,197 224;192 131,2
28.45,224 213;197 338,2
28.46,324 335;213 338;197 131;193 359,4
28.47,213 131;335 138,2
28.49,324 338;224 138;192 359,3
28.5,324 131;338 138,2
28.51,131 138;197 359,2
28.55,335 131;324 359,2
28.56,224 338;138 359,2
41.61,192 137 275;097 275 243,2
41.64,197 137 275;097 275 101,2
41.65,137 213 275;193 275 243,2
41.68,137 275 138;192 275 243;193 275 101,3
41.71,213 275 243;192 275 101,2
41.73,137 335 275;197 275 101,2
41.74,324 275 243;213 275 101,2
41.75,137 224 275;097 137 243;275 138 243,3
41.77,137 131 275;324 275 101,2
41.78,097 137 101;275 138 101,2
41.82,338 275 243;137 275 359;193 137 101,3
41.83,192 137 243;131 275 243;335 275 101,3
41.84,097 193 275;224 275 101,2
41.85,197 137 243;338 275 101;097 243 101,3
41.86,137 213 243;192 137 101;131 275 101,3
41.88,275 243 359;197 137 101,2
41.89,324 137 243;137 138 243;137 213 101;193 243 101,4
41.91,193 192 275;097 213 275;275 359 101,3
41.92,324 137 101;137 138 101;192 243 101,3
41.94,193 197 275;097 324 275;097 275 138;137 335 243,4
41.95,193 213 275;197 243 101;213 243 101,3
41.97,192 197 275;137 338 243;137 335 101,3
41.98,193 324 275;192 213 275;193 275 138;137 131 243,4
41.99,097 193 137;097 335 275;137 224 101;138 243 101,4
42.01,192 324 275;097 224 275;197 213 275;137 131 101,4
42.02,097 192 137;097 338 275;192 275 138,3
42.03,197 324 275;193 335 275;097 131 275;137 243 359,4
42.04,324 213 275;197 275 138;335 243 101,3
42.05,097 197 137;193 224 275;213 275 138;097 193 243,4
42.06,193 192 137;097 137 213;192 335 275;193 338 275,4
42.07,193 131 275;131 243 101,2
42.08,097 324 137;192 224 275;324 275 138;097 275 359,4
42.09,193 197 137;193 137 213;197 335 275;192 338 275,4
42.1,197 224 275;335 213 275;192 131 275,3
42.11,224 213 275;197 338 275;097 197 243,3
