cost,memory,ok,params,points,reason,sha256,source,task_id,task_name,zip_path
1121,1095,True,26,17.97802357692784,ok,e268db0cade4a645bba4275f307a3ae00cbf29448bb96431595043cbb27a28a4,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,1,task001.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\kokinnwakashuu_7117-01-lb-override-audit-frank-delta\submission.zip
1121,1095,True,26,17.97802357692784,ok,e268db0cade4a645bba4275f307a3ae00cbf29448bb96431595043cbb27a28a4,franksunp/7117-01-lb-neurogolf-blend-variation-mark-i,1,task001.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\kokinnwakashuu_7117-01-lb-override-audit-frank-delta\submission.zip
1121,1095,True,26,17.97802357692784,ok,e268db0cade4a645bba4275f307a3ae00cbf29448bb96431595043cbb27a28a4,seddiktrk/neurogolf-2026-graph-surgeon,1,task001.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\seddiktrk_neurogolf-2026-graph-surgeon\submission.zip
1121,1095,True,26,17.97802357692784,ok,e268db0cade4a645bba4275f307a3ae00cbf29448bb96431595043cbb27a28a4,kojimar/7116-91-lb-audited-neurogolf-onnx-overrides,1,task001.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\kojimar_7116-91-lb-audited-neurogolf-onnx-overrides\submission.zip
1121,1095,True,26,17.97802357692784,ok,e268db0cade4a645bba4275f307a3ae00cbf29448bb96431595043cbb27a28a4,nikitagajbhiye30/neurogolf-00,1,task001.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\nikitagajbhiye30_neurogolf-00\submission.zip
2690,2666,True,24,17.102703527404117,ok,436fc09415d2727a19ab233f0a3dd1cef1631f37f0ea69e2d26a1980e1fbfd0a,nikitagajbhiye30/neurogolf-00:qnghchen-datasource,1,task001.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\nikitagajbhiye30_neurogolf-00\qinghchen_datasource_submission.zip
43316,43284,True,32,14.32372263925173,ok,67e1eea67e292c5e471103dd2d92bc52833e553b72789a39ce35a88d0218c3f4,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,2,task002.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\kokinnwakashuu_7117-01-lb-override-audit-frank-delta\submission.zip
43316,43284,True,32,14.32372263925173,ok,67e1eea67e292c5e471103dd2d92bc52833e553b72789a39ce35a88d0218c3f4,franksunp/7117-01-lb-neurogolf-blend-variation-mark-i,2,task002.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\kokinnwakashuu_7117-01-lb-override-audit-frank-delta\submission.zip
43316,43284,True,32,14.32372263925173,ok,67e1eea67e292c5e471103dd2d92bc52833e553b72789a39ce35a88d0218c3f4,seddiktrk/neurogolf-2026-graph-surgeon,2,task002.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\seddiktrk_neurogolf-2026-graph-surgeon\submission.zip
43316,43284,True,32,14.32372263925173,ok,67e1eea67e292c5e471103dd2d92bc52833e553b72789a39ce35a88d0218c3f4,kojimar/7116-91-lb-audited-neurogolf-onnx-overrides,2,task002.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\kojimar_7116-91-lb-audited-neurogolf-onnx-overrides\submission.zip
43316,43284,True,32,14.32372263925173,ok,67e1eea67e292c5e471103dd2d92bc52833e553b72789a39ce35a88d0218c3f4,nikitagajbhiye30/neurogolf-00,2,task002.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\nikitagajbhiye30_neurogolf-00\submission.zip
,,False,,0.0,"InferenceError: [ShapeInferenceError] Inference error(s): (op_type:Conv, node name: active_above_pad): [ShapeInferenceError] Attribute pads must not contain negative values
(op_type:Conv, node name: active_below_pad): [ShapeInferenceError] ",5df1acd3bab7d998c8013f811c4cb1295d8501712885f718e00138b6c1e6f062,nikitagajbhiye30/neurogolf-00:qnghchen-datasource,2,task002.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\nikitagajbhiye30_neurogolf-00\qinghchen_datasource_submission.zip
302,281,True,21,19.28957298262513,ok,46a38818f8b54158bfee7cd02d5031b728bbc1a9c6320961a7664e88958f22eb,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,3,task003.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\kokinnwakashuu_7117-01-lb-override-audit-frank-delta\submission.zip
302,281,True,21,19.28957298262513,ok,46a38818f8b54158bfee7cd02d5031b728bbc1a9c6320961a7664e88958f22eb,franksunp/7117-01-lb-neurogolf-blend-variation-mark-i,3,task003.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\kokinnwakashuu_7117-01-lb-override-audit-frank-delta\submission.zip
302,281,True,21,19.28957298262513,ok,46a38818f8b54158bfee7cd02d5031b728bbc1a9c6320961a7664e88958f22eb,seddiktrk/neurogolf-2026-graph-surgeon,3,task003.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\seddiktrk_neurogolf-2026-graph-surgeon\submission.zip
302,281,True,21,19.28957298262513,ok,46a38818f8b54158bfee7cd02d5031b728bbc1a9c6320961a7664e88958f22eb,kojimar/7116-91-lb-audited-neurogolf-onnx-overrides,3,task003.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\kojimar_7116-91-lb-audited-neurogolf-onnx-overrides\submission.zip
302,281,True,21,19.28957298262513,ok,46a38818f8b54158bfee7cd02d5031b728bbc1a9c6320961a7664e88958f22eb,nikitagajbhiye30/neurogolf-00,3,task003.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\nikitagajbhiye30_neurogolf-00\submission.zip
1190,1172,True,18,17.918291413894426,ok,a41ad7e3efe23c97497862dd91ea554f505de1047f4dd0eda52d917136dde6c3,nikitagajbhiye30/neurogolf-00:qnghchen-datasource,3,task003.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\nikitagajbhiye30_neurogolf-00\qinghchen_datasource_submission.zip
5904,5812,True,92,16.31661463371969,ok,105f88774686d4459ce185808a6a34446761bca18b5743eb24b5616fb46e7b6d,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,4,task004.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\kokinnwakashuu_7117-01-lb-override-audit-frank-delta\submission.zip
5904,5812,True,92,16.31661463371969,ok,105f88774686d4459ce185808a6a34446761bca18b5743eb24b5616fb46e7b6d,franksunp/7117-01-lb-neurogolf-blend-variation-mark-i,4,task004.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\kokinnwakashuu_7117-01-lb-override-audit-frank-delta\submission.zip
5904,5812,True,92,16.31661463371969,ok,105f88774686d4459ce185808a6a34446761bca18b5743eb24b5616fb46e7b6d,seddiktrk/neurogolf-2026-graph-surgeon,4,task004.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\seddiktrk_neurogolf-2026-graph-surgeon\submission.zip
5904,5812,True,92,16.31661463371969,ok,105f88774686d4459ce185808a6a34446761bca18b5743eb24b5616fb46e7b6d,kojimar/7116-91-lb-audited-neurogolf-onnx-overrides,4,task004.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\kojimar_7116-91-lb-audited-neurogolf-onnx-overrides\submission.zip
5904,5812,True,92,16.31661463371969,ok,105f88774686d4459ce185808a6a34446761bca18b5743eb24b5616fb46e7b6d,nikitagajbhiye30/neurogolf-00,4,task004.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\nikitagajbhiye30_neurogolf-00\submission.zip
31765,30720,True,1045,14.633879666299366,ok,c462d36edbc797a7ffbf6f50985d4a981efb345a199bd00abfbcf77d74194ebe,nikitagajbhiye30/neurogolf-00:qnghchen-datasource,4,task004.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\nikitagajbhiye30_neurogolf-00\qinghchen_datasource_submission.zip
9300,6610,True,2690,15.862230320858652,ok,c8f1e06cd50ef4f1d480453edc283520dba09f7132b52ba11362b9c9c488063a,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,5,task005.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\kokinnwakashuu_7117-01-lb-override-audit-frank-delta\submission.zip
9300,6610,True,2690,15.862230320858652,ok,c8f1e06cd50ef4f1d480453edc283520dba09f7132b52ba11362b9c9c488063a,franksunp/7117-01-lb-neurogolf-blend-variation-mark-i,5,task005.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\kokinnwakashuu_7117-01-lb-override-audit-frank-delta\submission.zip
9300,6610,True,2690,15.862230320858652,ok,4fe79efa1ed873f0ba3e4a5e9d3dd775551afcc06cf2c2aed4e9a4826a7498c7,seddiktrk/neurogolf-2026-graph-surgeon,5,task005.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\seddiktrk_neurogolf-2026-graph-surgeon\submission.zip
9300,6610,True,2690,15.862230320858652,ok,4fe79efa1ed873f0ba3e4a5e9d3dd775551afcc06cf2c2aed4e9a4826a7498c7,kojimar/7116-91-lb-audited-neurogolf-onnx-overrides,5,task005.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\kojimar_7116-91-lb-audited-neurogolf-onnx-overrides\submission.zip
9300,6610,True,2690,15.862230320858652,ok,4fe79efa1ed873f0ba3e4a5e9d3dd775551afcc06cf2c2aed4e9a4826a7498c7,nikitagajbhiye30/neurogolf-00,5,task005.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\nikitagajbhiye30_neurogolf-00\submission.zip
59329,57419,True,1910,14.009146495768844,ok,40ae6ac53f6357853dcd99b363a1aceda439d00089775303135b7edefa2c3ded,nikitagajbhiye30/neurogolf-00:qnghchen-datasource,5,task005.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\nikitagajbhiye30_neurogolf-00\qinghchen_datasource_submission.zip
153,126,True,27,19.969562078607566,ok,c59abe078271e1b9716a9cfcaa299391f7a73d012775c268342f00ac36e40794,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,6,task006.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\kokinnwakashuu_7117-01-lb-override-audit-frank-delta\submission.zip
153,126,True,27,19.969562078607566,ok,c59abe078271e1b9716a9cfcaa299391f7a73d012775c268342f00ac36e40794,franksunp/7117-01-lb-neurogolf-blend-variation-mark-i,6,task006.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\kokinnwakashuu_7117-01-lb-override-audit-frank-delta\submission.zip
153,126,True,27,19.969562078607566,ok,c59abe078271e1b9716a9cfcaa299391f7a73d012775c268342f00ac36e40794,seddiktrk/neurogolf-2026-graph-surgeon,6,task006.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\seddiktrk_neurogolf-2026-graph-surgeon\submission.zip
153,126,True,27,19.969562078607566,ok,c59abe078271e1b9716a9cfcaa299391f7a73d012775c268342f00ac36e40794,kojimar/7116-91-lb-audited-neurogolf-onnx-overrides,6,task006.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\kojimar_7116-91-lb-audited-neurogolf-onnx-overrides\submission.zip
153,126,True,27,19.969562078607566,ok,c59abe078271e1b9716a9cfcaa299391f7a73d012775c268342f00ac36e40794,nikitagajbhiye30/neurogolf-00,6,task006.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\nikitagajbhiye30_neurogolf-00\submission.zip
647,612,True,35,18.527653705499098,ok,b325817c19addf0f8c0b1855526e60b6f169b405460c8702dc610ae4965f8e12,nikitagajbhiye30/neurogolf-00:qnghchen-datasource,6,task006.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\nikitagajbhiye30_neurogolf-00\qinghchen_datasource_submission.zip
127,0,True,127,20.15581291354141,ok,ee94f67c01b2af670919d608cdab2bd9611aa816f0d618d81945b3de27e3fabc,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,7,task007.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\kokinnwakashuu_7117-01-lb-override-audit-frank-delta\submission.zip
127,0,True,127,20.15581291354141,ok,ee94f67c01b2af670919d608cdab2bd9611aa816f0d618d81945b3de27e3fabc,franksunp/7117-01-lb-neurogolf-blend-variation-mark-i,7,task007.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\kokinnwakashuu_7117-01-lb-override-audit-frank-delta\submission.zip
127,0,True,127,20.15581291354141,ok,ee94f67c01b2af670919d608cdab2bd9611aa816f0d618d81945b3de27e3fabc,seddiktrk/neurogolf-2026-graph-surgeon,7,task007.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\seddiktrk_neurogolf-2026-graph-surgeon\submission.zip
127,0,True,127,20.15581291354141,ok,ee94f67c01b2af670919d608cdab2bd9611aa816f0d618d81945b3de27e3fabc,kojimar/7116-91-lb-audited-neurogolf-onnx-overrides,7,task007.onnx,autoresearch\competitions\neurogolf-2026\workspace\kaggle_notebooks\public_lb7117_sources\kojimar_7116-91-lb-audited-neurogolf-onnx-overrides\submission.zip
