task_id,task_name,source,ok,sha256,points,memory,params,cost,reason
1,task001.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,e268db0cade4a645bba4275f307a3ae00cbf29448bb96431595043cbb27a28a4,17.97802357692784,1095,26,1121,ok
2,task002.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,67e1eea67e292c5e471103dd2d92bc52833e553b72789a39ce35a88d0218c3f4,14.32372263925173,43284,32,43316,ok
3,task003.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,46a38818f8b54158bfee7cd02d5031b728bbc1a9c6320961a7664e88958f22eb,19.28957298262513,281,21,302,ok
4,task004.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,105f88774686d4459ce185808a6a34446761bca18b5743eb24b5616fb46e7b6d,16.31661463371969,5812,92,5904,ok
5,task005.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,c8f1e06cd50ef4f1d480453edc283520dba09f7132b52ba11362b9c9c488063a,15.862230320858652,6610,2690,9300,ok
6,task006.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,c59abe078271e1b9716a9cfcaa299391f7a73d012775c268342f00ac36e40794,19.969562078607566,126,27,153,ok
7,task007.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,ee94f67c01b2af670919d608cdab2bd9611aa816f0d618d81945b3de27e3fabc,20.15581291354141,0,127,127,ok
8,task008.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,020d59b82154d23b9d45e7abb6c20bbff42517308aea6208febfdd85e99ba658,16.364668280566722,5561,66,5627,ok
9,task009.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,c72ac10bdc6803ec257bb53852c727d4028ee9ab879ce9c50c4300d5a152f416,15.862552953544142,8229,1068,9297,ok
10,task010.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,7221cdf57ead41beef3e200ead70890f187fe0f856ec2e8c23b5ebc215e0bbb7,18.00606702477681,750,340,1090,ok
11,task011.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,ea2829ba3167c59c28c8b60f318e96dd9bc0405ef84b3c4e2ab6e644cac248ae,17.329571477809306,1859,285,2144,ok
12,task012.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,9e04ad29487dbe2a13c7f85b1ca9a3fc957b10a92e67d91b85415a2a9548778e,17.275111560676926,2076,188,2264,ok
