rank,task_id,family,priority,current_cost,current_points,target_cost,gain_to_target,rule_target,lowering_target,reject_lowering,first_action,acceptance,submission_policy
1,286,signature_lookup_current,P0,110902,13.383597792559053,9000,2.51142235112259,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,submit only small calibrated bundles first; compare LB/local before adding high-risk families
8,29,signature_lookup_current,P0,71139,13.82760901138578,9000,2.067411132295863,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,submit only small calibrated bundles first; compare LB/local before adding high-risk families
10,280,signature_lookup_current,P0,70515,13.836419267873659,9000,2.0586008758079846,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,submit only small calibrated bundles first; compare LB/local before adding high-risk families
15,366,signature_lookup_current,P0,60515,13.989353452827295,9000,1.905666690854348,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,submit only small calibrated bundles first; compare LB/local before adding high-risk families
16,275,signature_lookup_current,P0,59811,14.001055130489064,9000,1.8939650131925791,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,submit only small calibrated bundles first; compare LB/local before adding high-risk families
17,133,signature_lookup_current,P0,59322,14.009264488874813,9000,1.8857556548068306,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,submit only small calibrated bundles first; compare LB/local before adding high-risk families
18,209,signature_lookup_current,P0,59267,14.010192062325022,9000,1.8848280813566216,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,submit only small calibrated bundles first; compare LB/local before adding high-risk families
19,204,signature_lookup_current,P0,56171,14.063844111534255,9000,1.831176032147388,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,submit only small calibrated bundles first; compare LB/local before adding high-risk families
21,13,signature_lookup_current,P0,54111,14.101207228661691,9000,1.7938129150199522,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,submit only small calibrated bundles first; compare LB/local before adding high-risk families
22,222,signature_lookup_current,P0,52891,14.124011528952897,9000,1.7710086147287463,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,submit only small calibrated bundles first; compare LB/local before adding high-risk families
