task_id,feature,positive_top_values,negative_top_values,positive_unique,negative_unique,exact_positive_only_values,exact_negative_only_values,max_single_value_precision,max_single_value_recall,best_value
5,ray_lr,"[[""0:0"", 47], [""2:0"", 6], [""1:0"", 4], [""4:0"", 4], [""5:0"", 3], [""6:0"", 3], [""8:0"", 3], [""10:0"", 3]]","[[""0:0"", 1969], [""0:-6"", 23], [""0:-5"", 23], [""0:-3"", 23], [""0:-2"", 23], [""0:-1"", 23], [""0:-4"", 21], [""-1:0"", 20]]",21,53,[],"[""0:-6"", ""0:-5"", ""0:-3"", ""0:-2"", ""0:-1"", ""-1:-1"", ""-1:1"", ""-1:0"", ""-2:0"", ""-3:0"", ""3:0"", ""-5:0"", ""-6:0"", ""-7:0"", ""7:0"", ""-9:0"", ""-10:0"", ""0:3"", ""11:0"", ""-11:0""]",0.6,0.06521739130434782,2:0
5,ray_d2,"[[""0:0"", 77], [""0:1"", 5], [""1:0"", 2], [""0:4"", 2], [""0:-4"", 2], [""0:2"", 1], [""2:0"", 1], [""0:5"", 1]]","[[""0:0"", 1945], [""-1:0"", 29], [""-2:0"", 29], [""-3:0"", 29], [""-4:0"", 29], [""-5:0"", 29], [""-6:0"", 29], [""0:-3"", 27]]",9,54,[],"[""0:-6"", ""0:-7"", ""0:6"", ""0:7"", ""0:8"", ""0:-5"", ""0:-3"", ""0:3"", ""0:-2"", ""0:-1"", ""-1:0"", ""-1:-1"", ""1:-1"", ""-2:0"", ""-1:2"", ""1:-2"", ""-3:0"", ""-1:1"", ""-2:1"", ""2:-1""]",0.5555555555555556,0.05434782608695652,0:1
5,ray_ud,"[[""0:0"", 60], [""2:0"", 4], [""4:0"", 3], [""6:0"", 3], [""8:0"", 3], [""10:0"", 3], [""1:0"", 2], [""5:0"", 2]]","[[""0:0"", 1998], [""0:-3"", 22], [""0:-2"", 22], [""0:-1"", 22], [""0:-5"", 21], [""0:-4"", 20], [""-1:0"", 20], [""-2:0"", 20]]",15,66,[],"[""0:-6"", ""0:6"", ""0:-5"", ""0:-3"", ""0:3"", ""0:-2"", ""0:-1"", ""-1:-1"", ""-1:1"", ""-1:0"", ""-2:0"", ""-3:0"", ""3:0"", ""-4:0"", ""-5:0"", ""-6:0"", ""-7:0"", ""7:0"", ""-8:0"", ""-9:0""]",0.5,0.043478260869565216,2:0
5,r2,"[[""0"", 63], [""3"", 13], [""1"", 12], [""2"", 4]]","[[""0"", 2333], [""1"", 95], [""2"", 42], [""3"", 18]]",4,4,[],[],0.41935483870967744,0.14130434782608695,3
5,ray_d1,"[[""0:0"", 72], [""1:0"", 5], [""2:0"", 3], [""4:0"", 3], [""8:0"", 3], [""0:1"", 2], [""5:0"", 2], [""6:0"", 1]]","[[""0:0"", 1916], [""0:-4"", 29], [""0:-3"", 29], [""0:-2"", 29], [""0:-1"", 29], [""0:-5"", 28], [""0:-6"", 27], [""-1:0"", 24]]",9,48,[],"[""0:-6"", ""0:-7"", ""0:7"", ""0:6"", ""0:-5"", ""0:5"", ""0:-4"", ""0:4"", ""0:-3"", ""0:3"", ""0:-2"", ""0:2"", ""0:-1"", ""-1:-1"", ""-1:1"", ""-1:0"", ""-2:0"", ""-3:0"", ""3:0"", ""-4:0""]",0.4166666666666667,0.05434782608695652,1:0
5,diag4,"[[""0"", 78], [""1"", 14]]","[[""0"", 2454], [""1"", 30], [""2"", 4]]",2,3,[],"[""2""]",0.3181818181818182,0.15217391304347827,1
5,all8,"[[""0"", 73], [""1"", 15], [""2"", 4]]","[[""0"", 2435], [""1"", 38], [""2"", 10], [""3"", 5]]",3,4,[],"[""3""]",0.2857142857142857,0.043478260869565216,2
5,adj4,"[[""0"", 83], [""1"", 9]]","[[""0"", 2456], [""1"", 29], [""2"", 3]]",2,3,[],"[""2""]",0.23684210526315788,0.09782608695652174,1
5,r,"[[""8"", 19], [""7"", 10], [""6"", 8], [""16"", 5], [""20"", 5], [""0"", 5], [""9"", 5], [""12"", 4]]","[[""2"", 126], [""13"", 124], [""17"", 124], [""1"", 123], [""3"", 123], [""14"", 123], [""18"", 123], [""15"", 122]]",19,21,[],"[""2"", ""10""]",0.18269230769230768,0.20652173913043478,8
5,on_color_bbox_border,"[[""1"", 53], [""0"", 39]]","[[""0"", 2179], [""1"", 309]]",2,2,[],[],0.1464088397790055,0.5760869565217391,1
5,rel_color_r,"[[""0"", 16], [""2"", 15], [""1"", 12], [""-1"", 8], [""4"", 7], [""6"", 5], [""8"", 5], [""5"", 4]]","[[""7"", 124], [""9"", 122], [""6"", 121], [""5"", 120], [""8"", 120], [""-2"", 119], [""-3"", 118], [""-4"", 117]]",15,28,[],"[""-10"", ""-6"", ""-9"", ""-8"", ""-7"", ""7"", ""11"", ""12"", ""13"", ""14"", ""15"", ""-11"", ""16""]",0.14545454545454545,0.17391304347826086,0
5,rel_color_c,"[[""2"", 15], [""0"", 13], [""1"", 11], [""4"", 9], [""8"", 8], [""6"", 7], [""5"", 6], [""-1"", 5]]","[[""-6"", 125], [""7"", 125], [""-5"", 123], [""3"", 121], [""-1"", 120], [""5"", 120], [""-3"", 118], [""6"", 118]]",17,27,[],"[""-10"", ""-3"", ""-7"", ""3"", ""11"", ""12"", ""13"", ""14"", ""-12"", ""-11""]",0.12396694214876033,0.16304347826086957,2
5,rel_all_r,"[[""2"", 13], [""3"", 11], [""0"", 9], [""1"", 6], [""12"", 5], [""-1"", 5], [""4"", 5], [""8"", 4]]","[[""-2"", 125], [""-3"", 124], [""11"", 124], [""-4"", 123], [""6"", 123], [""10"", 123], [""14"", 123], [""7"", 122]]",21,23,[],"[""-6"", ""7""]",0.11206896551724138,0.14130434782608695,2
5,c,"[[""12"", 11], [""8"", 11], [""16"", 10], [""6"", 8], [""20"", 7], [""11"", 6], [""14"", 6], [""7"", 6]]","[[""2"", 126], [""1"", 125], [""3"", 125], [""5"", 125], [""17"", 125], [""9"", 124], [""0"", 123], [""4"", 123]]",19,21,[],"[""2"", ""9""]",0.09649122807017543,0.11956521739130435,8
5,rel_all_c,"[[""2"", 10], [""10"", 8], [""0"", 8], [""6"", 7], [""8"", 7], [""9"", 5], [""12"", 5], [""1"", 5]]","[[""-3"", 126], [""-6"", 125], [""-4"", 125], [""-2"", 125], [""-5"", 123], [""-1"", 123], [""7"", 123], [""11"", 123]]",22,24,[],"[""-3"", ""-7""]",0.08928571428571429,0.10869565217391304,2
5,on_all_bbox_border,"[[""0"", 67], [""1"", 25]]","[[""0"", 2075], [""1"", 413]]",2,2,[],[],0.05707762557077625,0.2717391304347826,1
5,out_color,"[[""2"", 34], [""3"", 21], [""4"", 16], [""1"", 13], [""6"", 8]]","[[""2"", 826], [""6"", 422], [""4"", 417], [""1"", 417], [""3"", 406]]",5,5,[],[],0.04918032786885246,0.22826086956521738,3
5,inside_all_bbox,"[[""0"", 92]]","[[""0"", 2326], [""1"", 162]]",1,2,[],"[""1""]",0.0380479735318445,1.0,0
5,inside_color_bbox,"[[""0"", 92]]","[[""0"", 2474], [""1"", 14]]",1,2,[],"[""1""]",0.03585346843335931,1.0,0
5,shape,"[[""21x21"", 92]]","[[""21x21"", 2488]]",1,1,[],[],0.03565891472868217,1.0,21x21
133,ray_d1,"[[""0:0"", 47], [""1:0"", 5], [""-3:0"", 5], [""-1:0"", 4], [""-2:0"", 4], [""0:-2"", 3], [""0:-1"", 3], [""2:0"", 3]]","[[""0:0"", 901], [""0:-1"", 39], [""-1:0"", 38], [""-2:0"", 38], [""-3:0"", 37], [""0:-2"", 36], [""-4:0"", 31], [""-5:0"", 23]]",16,63,"[""-4:-3"", ""-5:-2"", ""-6:-1""]","[""0:-8"", ""0:-7"", ""0:6"", ""0:-6"", ""0:5"", ""0:-5"", ""0:4"", ""0:-4"", ""0:3"", ""-4:0"", ""0:2"", ""-5:0"", ""-6:0"", ""-7:0"", ""-8:0"", ""4:0"", ""5:0"", ""-1:-5"", ""-1:5"", ""-1:-4""]",1.0,0.02247191011235955,-4:-3
133,ray_lr,"[[""0:0"", 35], [""0:1"", 6], [""0:2"", 5], [""1:0"", 5], [""2:0"", 5], [""0:-3"", 5], [""0:-2"", 5], [""0:-1"", 5]]","[[""0:0"", 889], [""-1:0"", 30], [""-2:0"", 30], [""-3:0"", 30], [""0:-2"", 27], [""0:-1"", 27], [""-4:0"", 25], [""-5:0"", 25]]",15,49,[],"[""-4:0"", ""-5:0"", ""-6:0"", ""-7:0"", ""-8:0"", ""0:5"", ""0:4"", ""0:-5"", ""-9:0"", ""-10:0"", ""-11:0"", ""-12:0"", ""0:-10"", ""0:-8"", ""0:-7"", ""0:-6"", ""4:0"", ""5:0"", ""6:0"", ""7:0""]",0.75,0.06741573033707865,0:1
133,r2,"[[""0"", 42], [""1"", 14], [""2"", 12], [""4"", 9], [""3"", 6], [""6"", 6]]","[[""0"", 1324], [""1"", 67], [""2"", 24], [""4"", 15], [""3"", 3], [""6"", 3]]",6,6,[],[],0.6666666666666666,0.06741573033707865,3
133,all8,"[[""0"", 69], [""2"", 10], [""1"", 8], [""3"", 2]]","[[""0"", 1402], [""1"", 25], [""2"", 8], [""3"", 1]]",4,4,[],[],0.6666666666666666,0.02247191011235955,3
133,diag4,"[[""0"", 72], [""1"", 15], [""2"", 2]]","[[""0"", 1408], [""1"", 27], [""2"", 1]]",3,3,[],[],0.6666666666666666,0.02247191011235955,2
133,ray_d2,"[[""0:0"", 40], [""1:0"", 6], [""-1:0"", 6], [""-2:0"", 6], [""2:0"", 5], [""-3:0"", 5], [""0:1"", 4], [""3:0"", 4]]","[[""0:0"", 988], [""0:-1"", 38], [""-1:0"", 37], [""-2:0"", 37], [""0:-2"", 35], [""-3:0"", 32], [""-4:0"", 30], [""0:-3"", 21]]",14,53,[],"[""0:6"", ""0:5"", ""0:4"", ""0:-4"", ""0:3"", ""4:0"", ""5:0"", ""-4:0"", ""-5:0"", ""0:-7"", ""0:-6"", ""0:-5"", ""-1:-4"", ""-1:4"", ""1:-4"", ""-2:-3"", ""-2:3"", ""2:-3"", ""-3:-2"", ""-3:2""]",0.6,0.06741573033707865,1:0
133,adj4,"[[""0"", 74], [""1"", 15]]","[[""0"", 1421], [""1"", 15]]",2,2,[],[],0.5,0.16853932584269662,1
133,ray_ud,"[[""0:0"", 67], [""-7:0"", 4], [""-8:0"", 3], [""-1:0"", 3], [""0:2"", 2], [""0:1"", 2], [""1:0"", 2], [""2:0"", 2]]","[[""0:0"", 899], [""-3:0"", 36], [""-2:0"", 34], [""-1:0"", 33], [""-4:0"", 33], [""0:-1"", 30], [""0:-2"", 28], [""-5:0"", 26]]",11,58,[],"[""0:-2"", ""0:9"", ""0:-9"", ""0:8"", ""0:-8"", ""0:7"", ""0:-7"", ""0:6"", ""0:-6"", ""0:5"", ""0:-5"", ""-3:0"", ""0:4"", ""0:-4"", ""-4:0"", ""0:3"", ""0:-3"", ""-5:0"", ""-9:0"", ""-10:0""]",0.4,0.02247191011235955,1:0
133,out_color,"[[""8"", 54], [""4"", 24], [""3"", 7], [""6"", 4]]","[[""3"", 526], [""4"", 410], [""6"", 274], [""8"", 226]]",4,4,[],[],0.19285714285714287,0.6067415730337079,8
133,shape,"[[""17x18"", 54], [""15x18"", 15], [""16x12"", 12], [""16x18"", 8]]","[[""16x18"", 548], [""15x18"", 495], [""17x18"", 226], [""16x12"", 167]]",4,4,[],[],0.19285714285714287,0.6067415730337079,17x18
133,c,"[[""6"", 15], [""13"", 12], [""8"", 12], [""7"", 12], [""12"", 10], [""14"", 9], [""5"", 8], [""3"", 5]]","[[""0"", 95], [""1"", 95], [""9"", 89], [""2"", 87], [""10"", 87], [""11"", 87], [""3"", 83], [""4"", 83]]",10,18,[],"[""0"", ""1"", ""9"", ""10"", ""11"", ""15"", ""16"", ""17""]",0.18072289156626506,0.16853932584269662,6
133,rel_color_c,"[[""-1"", 14], [""-2"", 13], [""-3"", 11], [""1"", 10], [""3"", 9], [""4"", 9], [""5"", 9], [""0"", 6]]","[[""6"", 94], [""-4"", 92], [""4"", 85], [""5"", 85], [""-3"", 82], [""3"", 80], [""-2"", 77], [""2"", 77]]",10,25,[],"[""-5"", ""6"", ""-6"", ""-11"", ""-10"", ""-9"", ""-8"", ""-7"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13""]",0.1590909090909091,0.15730337078651685,-1
133,rel_all_c,"[[""4"", 13], [""11"", 12], [""6"", 12], [""10"", 10], [""5"", 10], [""12"", 9], [""3"", 6], [""1"", 6]]","[[""-2"", 93], [""-1"", 92], [""7"", 89], [""0"", 85], [""8"", 85], [""9"", 85], [""5"", 83], [""6"", 81]]",12,20,[],"[""7"", ""8"", ""9"", ""13"", ""14"", ""15"", ""-4"", ""-3""]",0.1518987341772152,0.1348314606741573,11
133,rel_color_r,"[[""0"", 13], [""2"", 12], [""3"", 12], [""1"", 11], [""4"", 8], [""5"", 8], [""6"", 6], [""7"", 6]]","[[""-2"", 99], [""-1"", 97], [""3"", 84], [""-6"", 82], [""2"", 82], [""-7"", 81], [""1"", 81], [""-4"", 79]]",11,25,[],"[""-9"", ""-8"", ""-7"", ""-6"", ""-5"", ""-4"", ""-3"", ""-12"", ""-11"", ""-10"", ""9"", ""10"", ""11"", ""12""]",0.14942528735632185,0.14606741573033707,0
133,rel_all_r,"[[""7"", 13], [""8"", 12], [""10"", 11], [""6"", 10], [""9"", 10], [""11"", 10], [""5"", 7], [""12"", 7]]","[[""4"", 102], [""-1"", 101], [""3"", 100], [""12"", 95], [""0"", 91], [""2"", 91], [""5"", 88], [""10"", 88]]",12,17,[],"[""2"", ""3"", ""4"", ""14"", ""-2""]",0.1368421052631579,0.14606741573033707,7
133,on_color_bbox_border,"[[""0"", 56], [""1"", 33]]","[[""0"", 1227], [""1"", 209]]",2,2,[],[],0.13636363636363635,0.3707865168539326,1
133,r,"[[""9"", 12], [""10"", 12], [""12"", 12], [""11"", 11], [""7"", 10], [""8"", 9], [""13"", 7], [""14"", 6]]","[[""0"", 102], [""6"", 101], [""5"", 100], [""1"", 98], [""14"", 96], [""13"", 95], [""4"", 94], [""3"", 93]]",13,17,[],"[""0"", ""4"", ""5"", ""16""]",0.13186813186813187,0.1348314606741573,9
133,inside_all_bbox,"[[""0"", 55], [""1"", 34]]","[[""0"", 941], [""1"", 495]]",2,2,[],[],0.06427221172022685,0.38202247191011235,1
133,on_all_bbox_border,"[[""0"", 73], [""1"", 16]]","[[""0"", 1126], [""1"", 310]]",2,2,[],[],0.060884070058381985,0.8202247191011236,0
133,inside_color_bbox,"[[""0"", 89]]","[[""0"", 1436]]",1,1,[],[],0.058360655737704915,1.0,0
