notebook,path,suffix,bytes,keyword_counts
karnak_all_task_description,experiments\exp_b022_public_notebook_intelligence\notebooks\karnak_all_task_description\all-task-description-analysis.ipynb,.ipynb,27048,"{""Conv"": 3, ""submission"": 13, ""onnx"": 16, ""description"": 1, ""score"": 2, ""Compress"": 1, ""Where"": 2, ""Resize"": 1}"
karnak_all_task_description,experiments\exp_b022_public_notebook_intelligence\notebooks\karnak_all_task_description\kernel-metadata.json,.json,772,"{""onnx"": 1, ""description"": 3}"
konbu17_blended_till_4_27,experiments\exp_b022_public_notebook_intelligence\notebooks\konbu17_blended_till_4_27\kernel-metadata.json,.json,693,"{""blend"": 4}"
konbu17_blended_till_4_27,experiments\exp_b022_public_notebook_intelligence\notebooks\konbu17_blended_till_4_27\neurogolf-2026-blended-till-4-27.ipynb,.ipynb,8480,"{""Conv"": 1, ""blend"": 8, ""submission"": 12, ""onnx"": 21, ""cost"": 1, ""score"": 14, ""Where"": 2}"
magmacot_new_blending,experiments\exp_b022_public_notebook_intelligence\notebooks\magmacot_new_blending\kernel-metadata.json,.json,683,"{""blend"": 3, ""onnx"": 1}"
magmacot_new_blending,experiments\exp_b022_public_notebook_intelligence\notebooks\magmacot_new_blending\neurogolf-new-blending.ipynb,.ipynb,12081,"{""Conv"": 3, ""initializer"": 2, ""blend"": 4, ""submission"": 7, ""onnx"": 25, ""cost"": 12, ""Pad"": 1, ""parameter"": 2}"
massimilianoghiotto_convolution_series_part_3,experiments\exp_b022_public_notebook_intelligence\notebooks\massimilianoghiotto_convolution_series_part_3\convolution-series-part-3.ipynb,.ipynb,13579,"{""Conv"": 22, ""Slice"": 5, ""initializer"": 1, ""submission"": 2, ""onnx"": 11, ""rule"": 1, ""score"": 4, ""Where"": 2, ""Pad"": 12, ""parameter"": 1}"
massimilianoghiotto_convolution_series_part_3,experiments\exp_b022_public_notebook_intelligence\notebooks\massimilianoghiotto_convolution_series_part_3\kernel-metadata.json,.json,751,"{""Conv"": 4}"
needless090_4250,experiments\exp_b022_public_notebook_intelligence\notebooks\needless090_4250\kernel-metadata.json,.json,602,{}
needless090_4250,experiments\exp_b022_public_notebook_intelligence\notebooks\needless090_4250\neurogolf-4250.ipynb,.ipynb,889,"{""submission"": 2, ""onnx"": 2}"
seddiktrk_surgical_precision,experiments\exp_b022_public_notebook_intelligence\notebooks\seddiktrk_surgical_precision\kernel-metadata.json,.json,740,"{""Conv"": 1, ""precision"": 3, ""onnx"": 3, ""parameter"": 3}"
seddiktrk_surgical_precision,experiments\exp_b022_public_notebook_intelligence\notebooks\seddiktrk_surgical_precision\surgical-onnx-precision-parameter-reduction.ipynb,.ipynb,36171,"{""Conv"": 3, ""Gather"": 1, ""precision"": 1, ""initializer"": 62, ""submission"": 20, ""onnx"": 51, ""cost"": 5, ""score"": 50, ""Compress"": 20, ""Where"": 5, ""Pad"": 14, ""parameter"": 10}"
vyanktesh_multi_source,experiments\exp_b022_public_notebook_intelligence\notebooks\vyanktesh_multi_source\kernel-metadata.json,.json,1419,"{""blend"": 4, ""submission"": 1, ""onnx"": 4, ""rule"": 2, ""score"": 1}"
vyanktesh_multi_source,experiments\exp_b022_public_notebook_intelligence\notebooks\vyanktesh_multi_source\neurogolf-multi-source-onnx-solver.ipynb,.ipynb,136778,"{""Conv"": 89, ""Slice"": 51, ""Gather"": 93, ""MatMul"": 2, ""initializer"": 10, ""blend"": 3, ""submission"": 5, ""onnx"": 129, ""cost"": 95, ""score"": 27, ""Where"": 15, ""Pad"": 110, ""Resize"": 3, ""parameter"": 3}"
