task_id,name,shape,dtype,value,saveable_params,consumer_ops
77,safe_name_19,"[1, 1, 20, 21]",float16,1.0,419,"[""Sub""]"
383,safe_name_1,"[1, 1, 30, 30]",float16,1.0,899,"[""Sub""]"
358,safe_name_12,"[1, 1, 21, 1]",float16,3.0,20,"[""Sub""]"
358,safe_name_13,"[1, 1, 1, 20]",float16,3.0,19,"[""Sub""]"
358,safe_name_20,"[1, 1, 21, 1]",float16,4.0,20,"[""Sub""]"
358,safe_name_21,"[1, 1, 1, 20]",float16,4.0,19,"[""Sub""]"
110,safe_name_2,"[1, 1, 29, 29]",uint8,0.0,840,"[""Where""]"
284,safe_name_16,"[1, 1, 30, 30]",uint8,0.0,899,"[""Where""]"
128,safe_name_0,[10],int64,29.0,9,"[""Sub""]"
128,safe_name_1,[10],int64,1.0,9,"[""Add""]"
36,safe_name_7,[10],int64,29.0,9,"[""Sub"", ""Sub""]"
36,safe_name_8,[10],int64,1.0,9,"[""Add"", ""Add""]"
191,safe_name_14,"[1, 25]",float32,1.0,24,"[""Mul""]"
191,safe_name_17,"[1, 30]",float32,1.0,29,"[""Mul""]"
51,safe_name_6,"[1, 9]",float16,1.0,8,"[""Equal""]"
101,safe_name_7,"[1, 46]",float32,1.0,45,"[""Mul""]"
