task_id,source,template_name,route,cost,local_points,file_bytes,status,reason,sha256
1,vyanktesh_multi_source_output,,crop_or_resize,2843,17.047384888349,1319,baseline,base exp_b025,0ba1c190a016805c5f9c036c9dafac06035513bf11cea64837d053da1792a1b6
2,massimilianoghiotto_6254,,sparse_edit_or_object_completion,97293,13.514517676859928,13796,baseline,base exp_b025,d59734521ec12a1d642cebe2ec724b91f44b1228a0358483dcb8c806d5655bd8
3,afr1ste_5689_artifact,,crop_or_resize,9102,15.883750551423413,3638,baseline,base exp_b025,201f50b9769bf46022aeebbb31c47469dbff8cc35b1c85b4a593daaa2c9e77b0
4,massimilianoghiotto_6254,,sparse_edit_or_object_completion,55020,14.084547965521434,2666,baseline,base exp_b025,81681b822c0e06b87dc118341e4c436e0e6b5e922faf237aee4b3c50e5e8e9f2
5,massimilianoghiotto_6254,,sparse_edit_or_object_completion,117225,13.328149556042213,13978,baseline,base exp_b025,5be2c1ac585d12840bf3df1fc1f19afc7c1b22e58b35129786cf5f2da3abd49f
6,afr1ste_5689_artifact,,crop_or_resize,1631,17.603051397378987,1450,baseline,base exp_b025,d2cea9184c472bcc677d35dc6f1d8d5f9c27efc824b35adcb8fd3243f7c2395d
7,massimilianoghiotto_6254,,sparse_edit_or_object_completion,7271,16.108350887349943,1591,baseline,base exp_b025,b3fbdc3763bf12db4c965abb2e34de2d253efe893706d6276a0f519c18742d5c
8,massimilianoghiotto_6254,,sparse_edit_or_object_completion,23289,14.94426357492621,9516,baseline,base exp_b025,df449fab6a8fa5d281d1aa8be467d8a66c7bcce0a1bcb32987558a7f70a102ba
9,massimilianoghiotto_6254,,sparse_edit_or_object_completion,81241,13.69482467517415,31914,baseline,base exp_b025,45db58da83a7b9c702a7bbd970799482117c1f484ca73713c988ce613ada688f
10,massimilianoghiotto_6254,,sparse_edit_or_object_completion,5016,16.479611917687244,5285,baseline,base exp_b025,959b7fe8897b9a6e317f67be7f5235595b9db70155ec0deaf7b10fd828d71b5f
11,massimilianoghiotto_6254,,sparse_edit_or_object_completion,66247,13.898854540195707,11830,baseline,base exp_b025,e655fd08c139383d43df156b3a474a1486546912190066338cafc87059d46a46
12,massimilianoghiotto_6254,,sparse_edit_or_object_completion,12639,15.555457449352874,2599,baseline,base exp_b025,c169f12ce3baf4c253e1d7773020c00f99fdaf1de0576dcfb8378541558f1909
13,massimilianoghiotto_6254,,sparse_edit_or_object_completion,116882,13.3310798421544,16641,baseline,base exp_b025,1ff4c48f660d6df8129fec9e6de9e996a6c64dd656af07456998c2f9366580b0
14,massimilianoghiotto_6254,,crop_or_resize,39049,14.427427453254685,6239,baseline,base exp_b025,ae18524fa25d9f37ca75f837c4d6e08b401786943fa1e0d3d7e515568ea92fa6
15,massimilianoghiotto_6254,,sparse_edit_or_object_completion,900,18.197605236675688,3802,baseline,base exp_b025,1ffd2d96fdecfb3f3aff30b61ec79024b253580c0365fa4b8455c4efee2f4c93
16,massimilianoghiotto_6254,,sparse_edit_or_object_completion,10,22.697414907005953,174,baseline,base exp_b025,0906e52eb5772517bf371fcea4963ef920f1c6dae8800a6c8ebd61621b0f232a
17,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,sparse_edit_or_object_completion,34889,14.540073127737525,10120,baseline,base exp_b025,c980016edb94eb43babb9e711f24aa398b008229d464194bee443dd089850945
18,kojimar_5800_minimal_blend,,sparse_edit_or_object_completion,114578,13.35098890724301,50524,baseline,base exp_b025,fe471ad5402a1f32d0e7bdafca3685ae2bcf68007df6e4b68e979c5ab74f7299
19,massimilianoghiotto_6254,,crop_or_resize,81346,13.69353305881371,3217,baseline,base exp_b025,ffa9c64da6677c5e68362fa3a20418ff990b54748ac2fa378df5121eb1738b04
20,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,sparse_edit_or_object_completion,73049,13.801114272168789,6979,baseline,base exp_b025,917c71d7c2ca5884f47a6251a5d16d31cf7b5ca708768f0c94f004e1f31fd7ed
21,massimilianoghiotto_6254,,crop_or_resize,51223,14.156056071090937,39349,baseline,base exp_b025,bd662811e210f74eb4517dcb1bba35a8d96cb29b40e13fae4bcd00b0718ba9c8
22,massimilianoghiotto_6254,,crop_or_resize,34821,14.542024067963268,6565,baseline,base exp_b025,b1fae4f540a75c5d391f0f9515c24fbe06179429fe431efcca8c4678f09b16c8
23,franksunp_blended_best,,sparse_edit_or_object_completion,21433,15.027312930662868,3518,baseline,base exp_b025,28e232e6ced5220f2426f9f805c049e0556f69e037dd2dbcfe8efa62c735edb5
24,massimilianoghiotto_6254,,sparse_edit_or_object_completion,9080,15.88617052840466,3824,baseline,base exp_b025,589d404dc6812db1d7a0e1103856b40e25aa0b31cf17b5a3d5ebeddacb56eba0
25,franksunp_blended_best,,sparse_edit_or_object_completion,89286,13.600400020341894,61869,baseline,base exp_b025,113496118d8b99e0ab5b8b6e4cd8558d098247f19dbf670c3c4c73356fba92ea
26,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,crop_or_resize,724,18.415208607614282,1490,baseline,base exp_b025,5270bcd8f8701a46cc6ba52ed1ee804ceb9fe9f2e1c09e16bf9f0f533a04f1de
27,massimilianoghiotto_6254,,sparse_edit_or_object_completion,36791,14.486991470971319,16875,baseline,base exp_b025,a3329bc4155bcb6904c342f9d55293b8b137ba70fc8acca1eb91d53328046a74
28,massimilianoghiotto_6254,,sparse_edit_or_object_completion,8990,15.896131872534333,2106,baseline,base exp_b025,36728b9b5a411eec91b3378bf527e7993aff151ea43577cf015d927afc9998a7
29,massimilianoghiotto_6254,,crop_or_resize,97117,13.516328283804857,9892,baseline,base exp_b025,bff77431eb8c3abe5f6ce493cb48e189b2f2a1145a4eb40039f25de32440236e
30,massimilianoghiotto_6254,,sparse_edit_or_object_completion,11998,15.607504751786962,5853,baseline,base exp_b025,a0f4843251086700ba78da4184126135f92cd1473049e8a4f7709d424cdede97
31,massimilianoghiotto_6254,,crop_or_resize,18616,15.168223295017873,3504,baseline,base exp_b025,bcb1f9183e1f5ef3092345a1bf70a0a723d699e88b1aa4ef61ae7adb21961543
32,massimilianoghiotto_6254,,sparse_edit_or_object_completion,3405,16.86699978141639,2765,baseline,base exp_b025,9424a6591a868e2cb8fec1653fe4f48e54b1d7d393444b8fcfa2d1163f52fcc2
33,massimilianoghiotto_6254,,sparse_edit_or_object_completion,55161,14.081988539178049,2047,baseline,base exp_b025,1f44841b467f7d4c8a455e26a0dc5e227febeb04bddfd451add17256a7ed7d7a
34,afr1ste_5689_artifact,,sparse_edit_or_object_completion,106316,13.425828929592994,10866,baseline,base exp_b025,9bc0456266a7b4781012f63a7c753e895c2e0073cd7be9cf440d6df5d5bb5ea6
35,massimilianoghiotto_6254,,sparse_edit_or_object_completion,15363,15.36028269986934,5343,baseline,base exp_b025,415e6719cce74fd480f7999d3bd42e52a3974539fbad353c91d13ee86dcfd930
36,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,crop_or_resize,79944,13.710918331458375,6764,baseline,base exp_b025,ddb3befa611dd24be02e69a38159f28e92a60beb1ef1c2b756319fb0d6576168
37,massimilianoghiotto_6254,,sparse_edit_or_object_completion,63726,13.937652078450405,20513,baseline,base exp_b025,8faff6c42c2e15d27fd29d4ebeaf4a30cc8400305895d7fe67eb4a115afe711c
38,massimilianoghiotto_6254,,crop_or_resize,2193,17.306974251582112,2630,baseline,base exp_b025,e17eaa6c4b6a15452543c4f573989d8aa55d3e2f0c49b95bdf2917aee713ad7c
39,massimilianoghiotto_6254,,crop_or_resize,7772,16.04171718950267,2013,baseline,base exp_b025,c0de553b8d476ad4b572e74d73f53e104bff0edababeac198ec7a500f812f91c
