task_id,route,source,status,cost,local_points,file_bytes,node_count,initializer_count,initializer_params,op_counts,first_ops,compiler_lesson
179,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,0,25.0,178,1,0,0,"{""Transpose"": 1}",Transpose,small color/map kernel; compiler can use 1x1 Conv or tiny fixed weights
241,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,0,25.0,178,1,0,0,"{""Transpose"": 1}",Transpose,small color/map kernel; compiler can use 1x1 Conv or tiny fixed weights
16,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,10,22.697414907005953,174,1,1,10,"{""Gather"": 1}",Gather,tiny fixed transform/crop; compiler should prefer static Slice/Gather/Identity where rule shape is fixed
276,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,10,22.697414907005953,241,1,1,10,"{""Gather"": 1}",Gather,tiny fixed transform/crop; compiler should prefer static Slice/Gather/Identity where rule shape is fixed
309,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,10,22.697414907005953,241,1,1,10,"{""Gather"": 1}",Gather,tiny fixed transform/crop; compiler should prefer static Slice/Gather/Identity where rule shape is fixed
337,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,10,22.697414907005953,175,1,1,10,"{""Gather"": 1}",Gather,tiny fixed transform/crop; compiler should prefer static Slice/Gather/Identity where rule shape is fixed
53,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,30,21.598802618337846,199,1,1,30,"{""Gather"": 1}",Gather,tiny fixed transform/crop; compiler should prefer static Slice/Gather/Identity where rule shape is fixed
113,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,30,21.598802618337846,523,1,1,30,"{""Gather"": 1}",Gather,tiny fixed transform/crop; compiler should prefer static Slice/Gather/Identity where rule shape is fixed
116,crop_or_resize,massimilianoghiotto_6254,baseline,30,21.598802618337846,503,1,1,30,"{""Gather"": 1}",Gather,tiny fixed transform/crop; compiler should prefer static Slice/Gather/Identity where rule shape is fixed
164,crop_or_resize,massimilianoghiotto_6254,baseline,30,21.598802618337846,503,1,1,30,"{""Gather"": 1}",Gather,tiny fixed transform/crop; compiler should prefer static Slice/Gather/Identity where rule shape is fixed
172,crop_or_resize,massimilianoghiotto_6254,baseline,30,21.598802618337846,503,1,1,30,"{""Gather"": 1}",Gather,tiny fixed transform/crop; compiler should prefer static Slice/Gather/Identity where rule shape is fixed
210,crop_or_resize,massimilianoghiotto_6254,baseline,30,21.598802618337846,503,1,1,30,"{""Gather"": 1}",Gather,tiny fixed transform/crop; compiler should prefer static Slice/Gather/Identity where rule shape is fixed
311,crop_or_resize,massimilianoghiotto_6254,baseline,30,21.598802618337846,503,1,1,30,"{""Gather"": 1}",Gather,tiny fixed transform/crop; compiler should prefer static Slice/Gather/Identity where rule shape is fixed
385,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,30,21.598802618337846,199,1,1,30,"{""Gather"": 1}",Gather,tiny fixed transform/crop; compiler should prefer static Slice/Gather/Identity where rule shape is fixed
258,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,160,19.924826184766175,929,1,2,160,"{""Conv"": 1}",Conv,already ultra-low; inspect as target template
326,crop_or_resize,massimilianoghiotto_6254,baseline,160,19.924826184766175,280,2,0,0,"{""Pad"": 1, ""Slice"": 1}",Slice Pad,tiny fixed transform/crop; compiler should prefer static Slice/Gather/Identity where rule shape is fixed
103,crop_or_resize,massimilianoghiotto_6254,baseline,193,19.737309811095116,1251,11,9,34,"{""Abs"": 1, ""Cast"": 2, ""Gather"": 1, ""Greater"": 1, ""Pad"": 1, ""ReduceSum"": 1, ""Slice"": 2, ""Sub"": 1, ""Unsqueeze"": 1}",Slice Cast Slice Sub Abs ReduceSum Greater Cast,small color/map kernel; compiler can use 1x1 Conv or tiny fixed weights
261,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,200,19.701682633451963,1003,1,1,200,"{""Conv"": 1}",Conv,already ultra-low; inspect as target template
56,crop_or_resize,massimilianoghiotto_6254,baseline,213,19.638707834290575,1004,9,3,77,"{""ArgMax"": 1, ""Cast"": 1, ""Conv"": 1, ""Gather"": 1, ""Pad"": 1, ""Slice"": 1, ""Squeeze"": 1, ""Sub"": 1, ""Unsqueeze"": 1}",Slice Cast Sub Conv ArgMax Squeeze Gather Unsqueeze,small color/map kernel; compiler can use 1x1 Conv or tiny fixed weights
