task_id,cost,source
1,24,beicicc_6645
2,4614,beicicc_6645
3,191,beicicc_6645
4,4726,beicicc_6645
5,1278,beicicc_6645
6,339,beicicc_6645
7,312,beicicc_6645
8,2243,beicicc_6645
9,81241,exp_b025_best
10,716,beicicc_6645
11,2343,beicicc_6645
12,729,beicicc_6645
13,371,beicicc_6645
14,764,beicicc_6645
15,40,beicicc_6645
16,95,beicicc_6645
17,21329,beicicc_6645
18,33897,beicicc_6645
19,1490,beicicc_6645
20,5180,beicicc_6645
21,55987,beicicc_6645
22,29962,beicicc_6645
23,2570,beicicc_6645
24,4905,beicicc_6645
25,76181,beicicc_6645
26,48,beicicc_6645
27,36217,beicicc_6645
28,1005,beicicc_6645
29,1234,beicicc_6645
30,4569,beicicc_6645
31,923,beicicc_6645
32,478,beicicc_6645
33,758,beicicc_6645
34,825,beicicc_6645
35,3727,beicicc_6645
36,1279,beicicc_6645
37,63726,exp_b025_best
38,2193,exp_b025_best
39,21052,beicicc_6645
40,7868,exp_b025_best
41,47887,beicicc_6645
42,2800,beicicc_6645
43,13,beicicc_6645
44,54616,beicicc_6645
45,127,beicicc_6645
46,4555,beicicc_6645
47,3024,exp_b025_best
48,90841,beicicc_6645
49,964,beicicc_6645
50,22,beicicc_6645
51,388,beicicc_6645
52,42,beicicc_6645
53,275,beicicc_6645
54,1127,beicicc_6645
55,5113,beicicc_6645
56,9050,beicicc_6645
57,113,beicicc_6645
58,76603,beicicc_6645
59,18235,beicicc_6645
60,30763,beicicc_6645
61,18914,exp_b025_best
62,29409,exp_b025_best
63,12,beicicc_6645
64,114153,exp_b025_best
65,561,beicicc_6645
66,22313,beicicc_6645
67,165,beicicc_6645
68,50,beicicc_6645
69,11835,beicicc_6645
70,17,beicicc_6645
71,484,beicicc_6645
72,78,beicicc_6645
73,53,beicicc_6645
74,208,beicicc_6645
75,72,beicicc_6645
76,25346,beicicc_6645
77,4916,beicicc_6645
78,55,beicicc_6645
79,1306,beicicc_6645
80,10807,beicicc_6645
81,2225,beicicc_6645
82,305,beicicc_6645
83,13,beicicc_6645
84,16205,beicicc_6645
85,570,beicicc_6645
86,1184,beicicc_6645
87,16,beicicc_6645
88,16648,beicicc_6645
89,14760,beicicc_6645
90,609,beicicc_6645
91,923,beicicc_6645
92,11,beicicc_6645
93,779,beicicc_6645
94,586,beicicc_6645
95,6,beicicc_6645
96,36140,beicicc_6645
97,55812,exp_b025_best
98,24,beicicc_6645
99,4442,beicicc_6645
100,923,beicicc_6645
101,59014,beicicc_6645
102,2944,beicicc_6645
103,193,exp_b025_best
104,5270,beicicc_6645
105,36467,beicicc_6645
106,25552,beicicc_6645
107,70452,beicicc_6645
108,907,beicicc_6645
109,766,beicicc_6645
110,15209,beicicc_6645
111,16318,beicicc_6645
112,694,beicicc_6645
113,907,beicicc_6645
114,1559,beicicc_6645
115,400,beicicc_6645
116,86,beicicc_6645
117,74,beicicc_6645
118,41586,beicicc_6645
119,6923,beicicc_6645
120,1576,beicicc_6645
121,182,beicicc_6645
122,401,beicicc_6645
123,8502,beicicc_6645
124,3113,beicicc_6645
125,13417,exp_b025_best
126,811,beicicc_6645
127,2205,beicicc_6645
128,896,beicicc_6645
129,4505,beicicc_6645
130,613,beicicc_6645
131,5009,beicicc_6645
132,11,beicicc_6645
133,236217,beicicc_6645
134,816,beicicc_6645
135,6,beicicc_6645
136,260,beicicc_6645
137,336,beicicc_6645
138,1035,beicicc_6645
139,722,beicicc_6645
140,16,beicicc_6645
141,16782,beicicc_6645
142,12,beicicc_6645
143,254,beicicc_6645
144,50,beicicc_6645
145,4785,beicicc_6645
146,19,beicicc_6645
147,910,exp_b025_best
148,2581,beicicc_6645
149,282,beicicc_6645
150,16232,beicicc_6645
151,359,beicicc_6645
152,12,beicicc_6645
153,7877,beicicc_6645
154,435,beicicc_6645
155,16232,beicicc_6645
156,4887,beicicc_6645
157,119775,beicicc_6645
158,183303,beicicc_6645
159,20978,beicicc_6645
160,505,beicicc_6645
161,215,beicicc_6645
162,270,beicicc_6645
163,9358,beicicc_6645
164,86,beicicc_6645
165,67524,exp_b025_best
166,16,beicicc_6645
167,18086,beicicc_6645
168,1315,beicicc_6645
169,83,beicicc_6645
170,20148,beicicc_6645
171,28,beicicc_6645
172,86,beicicc_6645
173,1343,beicicc_6645
174,745,beicicc_6645
175,4475,beicicc_6645
176,4655,beicicc_6645
177,923,beicicc_6645
178,3009,beicicc_6645
179,6,beicicc_6645
180,520,beicicc_6645
181,559,beicicc_6645
182,576843,beicicc_6645
183,241,beicicc_6645
184,215,beicicc_6645
185,663,beicicc_6645
186,27047,beicicc_6645
187,4744,beicicc_6645
188,69,beicicc_6645
189,1968,beicicc_6645
190,7687,beicicc_6645
191,73993,exp_b025_best
192,225,beicicc_6645
193,195,beicicc_6645
194,59,beicicc_6645
195,4989,beicicc_6645
196,245,beicicc_6645
197,32491,beicicc_6645
198,4754,beicicc_6645
199,511,beicicc_6645
200,10434,beicicc_6645
201,4960,beicicc_6645
202,308,beicicc_6645
203,16255,beicicc_6645
204,765,beicicc_6645
205,102260,beicicc_6645
206,3463,beicicc_6645
207,46,beicicc_6645
208,3157,beicicc_6645
209,114644,beicicc_6645
210,9,beicicc_6645
211,907,beicicc_6645
212,1021,beicicc_6645
213,1352,beicicc_6645
214,104,beicicc_6645
215,32482,beicicc_6645
216,1270,beicicc_6645
217,5712,beicicc_6645
218,427,beicicc_6645
219,141587,beicicc_6645
220,1055,beicicc_6645
221,9195,beicicc_6645
222,505,beicicc_6645
223,18,beicicc_6645
224,1315,beicicc_6645
225,3425,beicicc_6645
226,605,beicicc_6645
227,339,beicicc_6645
228,1964,beicicc_6645
229,47,beicicc_6645
230,1425,beicicc_6645
231,884,beicicc_6645
232,355,beicicc_6645
233,53984,beicicc_6645
234,7242,beicicc_6645
235,17281,beicicc_6645
236,50,beicicc_6645
237,327,beicicc_6645
238,7949,beicicc_6645
239,2227,beicicc_6645
240,591,beicicc_6645
241,0,beicicc_6645
242,16318,beicicc_6645
243,29045,beicicc_6645
244,851,beicicc_6645
245,108,beicicc_6645
246,564,beicicc_6645
247,331,beicicc_6645
248,7264,beicicc_6645
249,563,beicicc_6645
250,79,beicicc_6645
251,4505,beicicc_6645
252,4613,beicicc_6645
253,2407,beicicc_6645
254,4641,beicicc_6645
255,33001,beicicc_6645
256,6373,beicicc_6645
257,414,beicicc_6645
258,4505,beicicc_6645
259,1041,beicicc_6645
260,1283,beicicc_6645
261,8,beicicc_6645
262,17213,beicicc_6645
263,911,beicicc_6645
264,7237,beicicc_6645
265,735,beicicc_6645
266,28,beicicc_6645
267,13609,beicicc_6645
268,424,beicicc_6645
269,16282,beicicc_6645
270,552,beicicc_6645
271,439,beicicc_6645
272,910,exp_b025_best
273,66,beicicc_6645
274,31555,beicicc_6645
275,14146,beicicc_6645
276,10,beicicc_6645
277,14617,exp_b025_best
278,4596,beicicc_6645
279,26330,exp_b025_best
280,9231,beicicc_6645
281,98,beicicc_6645
282,923,beicicc_6645
283,4505,beicicc_6645
284,384,beicicc_6645
285,121892,beicicc_6645
286,6586,beicicc_6645
287,604,beicicc_6645
288,1891,beicicc_6645
289,449,beicicc_6645
290,870,beicicc_6645
291,936,beicicc_6645
292,4605,beicicc_6645
293,16273,beicicc_6645
294,4505,beicicc_6645
295,492,beicicc_6645
296,721,beicicc_6645
297,34282,beicicc_6645
298,27691,beicicc_6645
299,5,beicicc_6645
300,1090,beicicc_6645
301,16534,beicicc_6645
302,5,beicicc_6645
303,310,beicicc_6645
304,410,beicicc_6645
305,225050,beicicc_6645
306,534,beicicc_6645
307,545,beicicc_6645
308,30771,beicicc_6645
309,10,beicicc_6645
310,667,beicicc_6645
311,9,beicicc_6645
312,4691,beicicc_6645
313,40852,beicicc_6645
314,1415,beicicc_6645
315,410,beicicc_6645
316,45055,beicicc_6645
317,6,beicicc_6645
318,50,beicicc_6645
319,19115,beicicc_6645
320,251,beicicc_6645
321,584,beicicc_6645
322,185,beicicc_6645
323,6188,beicicc_6645
324,114606,beicicc_6645
325,9446,beicicc_6645
326,6,beicicc_6645
327,277,beicicc_6645
328,32330,beicicc_6645
329,205,beicicc_6645
330,15245,beicicc_6645
331,30,beicicc_6645
332,16255,beicicc_6645
333,24893,exp_b025_best
334,22588,beicicc_6645
335,578,beicicc_6645
336,854,beicicc_6645
337,95,beicicc_6645
338,4505,beicicc_6645
339,410,beicicc_6645
340,483,beicicc_6645
341,965,beicicc_6645
342,305,beicicc_6645
343,2597,beicicc_6645
344,1455,beicicc_6645
345,4831,beicicc_6645
346,5010,beicicc_6645
347,339,beicicc_6645
348,4842,beicicc_6645
349,1178,beicicc_6645
350,7,beicicc_6645
351,26659,beicicc_6645
352,104,beicicc_6645
353,305,beicicc_6645
354,17007,exp_b025_best
355,1110,beicicc_6645
356,845,beicicc_6645
357,85649,beicicc_6645
358,2851,beicicc_6645
359,141,beicicc_6645
360,33,beicicc_6645
361,2167,beicicc_6645
362,11939,exp_b025_best
363,32303,beicicc_6645
364,917,beicicc_6645
365,937,beicicc_6645
366,52418,beicicc_6645
367,32349,beicicc_6645
368,295,beicicc_6645
369,50,beicicc_6645
370,144225,beicicc_6645
371,505,beicicc_6645
372,38,beicicc_6645
373,32,beicicc_6645
374,726,beicicc_6645
375,305,beicicc_6645
376,352,beicicc_6645
377,11100,beicicc_6645
378,1375,beicicc_6645
379,18768,beicicc_6645
380,86,beicicc_6645
381,4768,beicicc_6645
382,656215,beicicc_6645
383,5708,beicicc_6645
384,1193,beicicc_6645
385,275,beicicc_6645
386,339,beicicc_6645
387,191219,beicicc_6645
388,136,beicicc_6645
389,18,beicicc_6645
390,5272,beicicc_6645
391,594,beicicc_6645
392,13588,beicicc_6645
393,20,beicicc_6645
394,271,beicicc_6645
395,339,beicicc_6645
396,42954,beicicc_6645
397,976,beicicc_6645
398,1047,beicicc_6645
399,1839,exp_b025_best
400,352,beicicc_6645
