task_id,graph_family,cost,score,valid_train,valid_arcgen_sample,model_sha256,compressed_size,uncompressed_size
001,compact artifact selection,2690,17.102703527404,True,True,436fc09415d2727a19ab233f0a3dd1cef1631f37f0ea69e2d26a1980e1fbfd0a,583,1172
002,compact artifact selection,86446,13.632724779479,True,True,5df1acd3bab7d998c8013f811c4cb1295d8501712885f718e00138b6c1e6f062,1673,9145
003,compact artifact selection,1190,17.918291413894,True,True,a41ad7e3efe23c97497862dd91ea554f505de1047f4dd0eda52d917136dde6c3,1199,5000
004,optimizer and simplifier passes,31765,14.633879666299,True,True,c462d36edbc797a7ffbf6f50985d4a981efb345a199bd00abfbcf77d74194ebe,2030,2850
005,compact artifact selection,59329,14.009146495769,True,True,40ae6ac53f6357853dcd99b363a1aceda439d00089775303135b7edefa2c3ded,12817,46553
006,compact artifact selection,647,18.527653705499,True,True,b325817c19addf0f8c0b1855526e60b6f169b405460c8702dc610ae4965f8e12,465,1133
007,compact artifact selection,7271,16.108350887350,True,True,6df9108f0aec1564c4fd08e1e738288d4247e6be0f49919ed6a106278d0c3981,563,1258
008,compact artifact selection,23288,14.944306514575,True,True,3c6eac13ad355d3b5eef5aeafb8684986bd72b09d2d4270a9db362d33aedc6f9,1880,7647
009,optimizer and simplifier passes,47427,14.233053034236,True,True,183284220033f89996646e2b56577c792e836f040e09683b8e2c6fa0a5f71bd0,912,3644
010,compact artifact selection,5015,16.479811299604,True,True,31e8b795ba465955855e8265a882e7fb47a3eeb2b779fa316c16c2bd0905d4cd,1310,6176
011,optimizer and simplifier passes,27120,14.791973257946,True,True,0e2325ab968caf64d9c48ed783bab1c0a715bf1198349e8b357216e36d90bdd5,860,12671
012,optimizer and simplifier passes,12631,15.556090611226,True,True,df320d75ab6b4ecabfe62ab2fba6c963a9060bd9c5703fcede7dc2ff460629bc,682,1906
013,compact artifact selection,26074,14.831306071777,True,True,bb0bd3daa5635f41d65adc172cd8f0ba24238ebc6daca9c3aa1aefcfa24f67ae,3548,7722
014,compact artifact selection,39049,14.427427453255,True,True,33aac8a1b4845a677ce6e8d07d81f5483ca78d158e8f09368fccba9384f7b28f,1138,5317
015,compact artifact selection,900,18.197605236676,True,True,1ab641692d1424be973ca0ca5d26e88172d7be86363973c99ffda1b0d2dfd046,206,3774
016,compact artifact selection,10,22.697414907006,True,True,fb83a8e988f586009bf17279b7aedb194e3492a8e6f357be6d5e9ed903615733,116,158
017,compact artifact selection,33795,14.571931858466,True,True,9a42c9c800342554254c4de4cad57824c6f82845d6270cbd970ce3b105dc9c4c,1169,5239
018,compact artifact selection,73130,13.800006041735,True,True,f958979cea2df0cbc89f049e5487677ea8689f9c8cc9f38fd8b325baa9655aa5,13292,48271
019,compact artifact selection,13649,15.478578462144,True,True,58a94c70fe5b5cb01379a932cd3a187acf2ed13389f53304942864f4f5da5bdf,1050,2709
020,compact artifact selection,52144,14.138235598923,True,True,ff0158c5996c0f640c91f47362507f778dfe619b14f4d49253762df5e0ca11ea,3172,14531
021,compact artifact selection,8319,15.973702665716,True,True,12716382ac5c299fd166e7321f99134adeb29e9e4e28078b59996fd7007fbcd9,832,2678
022,compact artifact selection,18589,15.169674713093,True,True,b5bc6356ff3ffca9bab19803c3cb9b55fada198a71354413fc92d4384f359cde,750,2028
023,compact artifact selection,49742,14.185395074364,True,True,c0e80c3aef4d9f981e7f72e460fa1a8db83296697b4ffe848e350eae25d28936,2400,10217
024,compact artifact selection,9080,15.886170528405,True,True,f8a1d671c3118abe56700d79b82cd03b36acad2b03a5453a7790ca311b792d5d,760,3233
025,compact artifact selection,77121,13.746869103995,True,True,7e42996fcaf2fbeef14d5f66aea1c3730471628e03d91e9099c2502abd0b3b8d,1259,4860
026,compact artifact selection,676,18.483806923957,True,True,db2791acd5d5e13cbfab5052f12c2ae9918ba077546dd60390fcd9ab7dec1783,437,885
027,compact artifact selection,5814,16.331975918881,True,True,363f142181b94485a3cc849cd11a06ce885c6f53763aefc9f8729f5fa5b408e0,727,2073
028,compact artifact selection,4839,16.515536633207,True,True,3656aaec46a53a89d6837b351c3acb2fb0601b5492ecb0a9500654e58d536673,622,2079
029,compact artifact selection,35333,14.527427349581,True,True,a4404cba665f457646fd129badf94d69a38de64c3916b82ad2280694e6b9b952,1533,6899
030,compact artifact selection,6134,16.278397655326,True,True,f5bf6c26c62fe03caf6310d95bf297aa64b7cefab8ca50bd51fe0c2e30db3126,800,3134
031,compact artifact selection,18616,15.168223295018,True,True,827e7229dd650485407f1ae7c8a511d8abc13716486a76f29cabbe46f1b02945,1072,3417
032,compact artifact selection,3405,16.866999781416,True,True,64d66eeaba95588367af53102ecf4fb2ceb4c93327b677f80f1a9591b342f6a5,911,2347
033,typed tail and graph surgery,32749,14.603372293754,True,True,fa704e22190efc5c4c3a3a71cd67199e20ade0cb30ac08a709012efaca4b6562,631,1438
034,optimizer and simplifier passes,9651,15.825183184093,True,True,39773ae3b12cab5a2e29052d94f4913993f508a12ea76a72e893c7e1fe11ea5b,1513,4305
